"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"CA CRISTALERIA LA REDOMA";"";"Tel: (58) (212) 5151021";"Entrada de La Vega, Res.Río de Oro. Debajo del Elevado de Petare Caracas, Venezuela";"Espejos"
"CRISTALERIA ALUMINIO Y DECORACIONES NUEVA ERA, C.A.";"";"Tel: (58) (243) 2320390";"Av. Bolívar Este, La Barraca Maracay, Venezuela";"Espejos"
"VIDRIOS Y CRISTALERIA SAN JOSÉ, S.R.L.";"";"Tel: (58) (241) 8341763";"Ave Michelena, Zona Industrial Carabobo Valencia, Venezuela";"Espejos"
"AUTO CRISTALERÍA EL MIRADOR, C.A.";"";"Tel: (58) (283) 2410663";"Av. Intercomunal, El Tigre El Tigre, Venezuela";"Espejos"
"ALUVIDRIOS DE ARAGUA";"";"Tel: (58) (243) 2359078";"Av. Fuerzas Aéreas Maracay, Venezuela";"Espejos"
"CACENCA";"";"Tel: (58) (243) 2469669";"Avenida de los Cedros Nro.55 Maracay-Edo.Aragua Maracay, Venezuela";"Espejos"
"VIDRIOS DON RAFAEL C.A.";"";"Tel: (58) (241) 8354721";"Av Lisandro Alvarado, No.90-139, La Candelaria Valencia, Venezuela";"Espejos"
"VIDRIOS TACHIRA, S.R.L.";"";"Tel: (58) (276) 3446794";"Av. Cuatricentenario, San Cristobal San Cristóbal, Venezuela";"Espejos"
"CRISTALUM";"";"Tel: (58) (265) 6622654";"Libertad Ciudad Ojeda, Venezuela";"Espejos"
"ALUMINIOS VIBALFA S.R.L.";"";"Tel: (58) (212) 5419979";"2³ Av. con 3³ Transversal, N³50 Las Flores de Puente Hierro Caracas, Venezuela";"Espejos"
"CRISTALERIA CRISPEJOS, S.A.";"";"Tel: (58) (212) 8603446";"Las Flores de Catia, A 50 mts. del Teatro Venezuela Caracas, Venezuela";"Espejos"
"VIDRIOS BRASIL, C.A.";"";"Tel: (58) (261) 7233331";"Av. 8 Santa Rita Maracaibo, Venezuela";"Espejos"
"CRISTALERIA ALFIO, C.A.";"";"Tel: (58) (251) 4455840";"Edificio Fernandez Av PL Torres E/Cl 50 y 51 Barquisimeto, Venezuela";"Espejos"
"ALUVIDRIOS SAN ANTONIO";"";"Telefax: (58) (212) 3714540";"C.C. La Gonzalera, Los Castores San Antonio De Los Altos Caracas, Venezuela";"Espejos"
"CRISTALERIA Y MARQUETERIA BRITO, C.A.";"";"Tel: (58) (266) 5625287";"Altagracia Puertos de Altagracia, Venezuela";"Espejos"
"CRISTALERIA ROAN S.R.L.";"";"Tel: (58) (212) 3440630";"Av. Villa Heróica Guatire, Venezuela";"Espejos"
"VIDRIOS Y ALUMINIOS JACINTA, C.A.";"";"Tel: (58) (243) 2324918";"Calle Páez Este No.82, a pocos mts de E/s, Páez, Maracay Maracay, Venezuela";"Espejos"
"VIDRIOS Y ALUMINIOS PÉREZ, S.R.L.";"";"Telefax: (58) (241) 8479566";"Sector Los Samanes, C.C.Los Manguitos Av.87 c/c Circunvalación, Samanes Valencia, Venezuela";"Espejos"
"PÉREZ, E. JORGE.";"";"Tel: (58) (212) 3638724";"Guarenas. El Tamarindo Guarenas, Venezuela";"Espejos"
"ANDICRISTAL, C.A.";"";"Tel: (58) (241) 8328394";"2da Transv, Zona Industrial Valencia, Venezuela";"Espejos"
"CRISTALERIA GUARICO, C.A.";"";"Tel: (58) (246) 4312914";"Av L LLanos San Juan de Los Morros, Venezuela";"Espejos"
"AUTO VIDRIOS EL TIGRE, C.A.";"";"Tel: (58) (283) 2416934";"Av. Francisco de Miranda Diagonal A C.C. Venezuela El Tigre, Venezuela";"Espejos"
"CONSTRUCCIONES ARISTIGUETA, C.A.";"";"Tel: (58) (212) 2425901";"Av. Rómulo Gallegos, La Urbina Caracas, Venezuela";"Espejos"
"VENTANALES LAS MINAS, C.A.";"";"Tel: (58) (212) 9790872";"Vieja Baruta, Las Minas de Baruta Caracas, Venezuela";"Espejos"
"CRISTALVALLE, C.A.";"";"Tel: (58) (212) 6932010";"Av. Pedro Emilio Coll Quinta San Gregorio, Santa Mónica Caracas, Venezuela";"Espejos"
"DISTRIBUIDORA SCHERING, C.A.";"";"Tel: (58) (212) 7618305";"Caracas Caracas, Venezuela";"Espejos"
"CRISTALERÍA PAGI, C.A.";"";"Tel: (58) (212) 6724664";"Vía el Faro, Hacienda San Luis Sec. El Pozuelo, San Antonio de los Altos Caracas, Venezuela";"Espejos"
"FABRICA DE ESPEJOS ARAGUA C.A.";"";"Tel: (58) (244) 3228611";"Urb. Industrial Soco Av Principal,La Victoria, Edo.Aragua La Victoria, Venezuela";"Espejos"
"CRISTALERIA LAS COLINAS, C.A.";"";"Tel: (58) (212) 5323195";"Carretera Petare - Sta. Lucía, Km.9 Zona Ind. Las Tapias, Galpón D-7 Caracas, Venezuela";"Espejos"
"PROGLASS, C.A.";"";"Telefax: (58) (212) 5615990";"Av. Fzas. Armadas, Centro - Caracas Caracas, Venezuela";"Espejos"
"ALEVENCA ALUMINIOS Y ESTRUCTURAS VENEZUELA, C.A.";"";"Tel: (58) (243) 2694508";"La Providencia-Maracay Maracay, Venezuela";"Espejos"
"EMPRESAS EL MORRO";"";"Tel: (58) (212) 5719732";"Calle Real de SarrÙa con Av. O'higgins GalpÊn No.52 - Caracas Caracas, Venezuela";"Espejos"
"CRISTALERIA MEREGOTO AP, C.A.";"";"Tel: (58) (244) 4474372";"Calle Providencia y Urb Los Meregotos Cagua, Venezuela";"Espejos"
"CRISTALERIA LA NAYA, C.A.";"";"Tel: (58) (212) 9796957";"Zona Industrial Las Nayas Calle Mara, Baruta Caracas, Venezuela";"Espejos"
"VIDRIERA LA IMPORTADORA, C.A.";"";"Tel: (58) (243) 2466878";"Calle Páez Este # 59, Entre 5 de Julio y Sucre Maracay, Venezuela";"Espejos"
"CRISTALERIA ALUFRANCHI";"";"Tel: (58) (286) 9315955";"a. 100 Mts.de la Linea del Tren Av. Dalla Costa Ciudad Guayana Puerto Ordaz, Venezuela";"Espejos"
"DISTRAGLASS MILLENIUM, C.A.";"";"Tel: (58) (281) 4182342";"Las Garzas Barcelona, Venezuela";"Espejos"
"CRISTALUM PORLAMAR, C.A.";"";"Tel: (58) (295) 2643159";"Av. Terranova, Frente Depósito CANTV Edif. Cristalum Porlamar C.A. Porlamar, Venezuela";"Espejos"
"VIDRIERIA SOLIMAR, C.A.";"";"Tel: (58) (265) 6622897";"Av. Intercomunal Ciudad Ojeda, Venezuela";"Espejos"
"ANA MARIA VIDRIOS Y MUEBLES";"";"Tel: (58) (276) 7875363";"Cr. 4 El Centro Ureña, Venezuela";"Espejos"
"CEVIMECA";"";"Tel: (58) (243) 2633328";"Mariara, Edo. Carabobo Maracay, Venezuela";"Espejos"
"MI-GLASS, C.A.";"";"Tel: (58) (243) 5514752";"Calle Páez Oeste No.172, Sector la Romana Maracay, Venezuela";"Espejos"
"VIEXCA";"";"Tel: (58) (286) 9521487";"Av. Pso. Caroni Unare I Ciudad Guayana Puerto Ordaz, Venezuela";"Espejos"
"BELFORT";"";"Tel: (58) (212) 9935552";"Cl. Madrid, Las Mercedes Caracas, Venezuela";"Espejos"
"ALUBAVENCA FÁBRICA DE PUERTAS Y VENTANAS, S.R.L.";"";"Tel: (58) (212) 8602410";"Caracas Caracas, Venezuela";"Espejos"
"CRISTALERÍA GUARAPICHE BARCELONA, C.A.";"";"Tel: (58) (281) 2766213";"Av Fuerzas Armadas Barcelona, Venezuela";"Espejos"
"UNIÊN CRISTALERA, C.A.";"";"Tel: (58) (212) 8621628";"Piñañgo A Camino Nuevo Caracas, Venezuela";"Espejos"
"CRISTALERÍA DEL ESTUDIANTE, C.A.";"";"Telefax: (58) (239) 2250603";"Av. Ribas-Local B frente a la Plaza del Estudiante, Ocumare del Tuy Ocumare del Tuy, Venezuela";"Espejos"
"CRISTALES EL GORBEA, C.A.";"";"Tel: (58) (212) 9413775";"Calle Bolívar, Edif. Gorbea, Al lado de Mc Donald's, Urb. La Trinidad Caracas, Venezuela";"Espejos"
"CRISTALERIA LA CASTELLANA, C.A.";"";"Telefax: (58) (212) 2671291";"3era Calle, Edif. Pax Local E Pb. Frente Al Seguro Social. Chacao Caracas, Venezuela";"Espejos"
"CRISTALERÍA CANARIAS";"";"Telefax: (58) (212) 8713438";"Calle Brasil entre 6ta. y7ma. (frente al C.C.Brasil), Catía Caracas, Venezuela";"Espejos"
"ALIDERCA, C.A.";"";"Tel: (58) (212) 2729990";"Callejón Bilbao, Local 3 La California Norte Caracas, Venezuela";"Espejos"
"Industrias Metálicas 2000";"ventas@metalicas2000.com";"Cel.: (58) 3206680047";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Estanterias Y Gondolas"
"INPROMECA";"";"Telefax: (58) (245) 5714256";"Carr Los Guayos A 200 Metros De Hotel Las Cabañas Al Lado De E/S PDV Edif Inpromeca Guacará, Venezuela";"Estanterias Y Gondolas"
"INDUSTRIAS METALICAS ZAVATTI, C.A.";"";"Tel: (58) (212) 2568574";"Parcelamiento Ind. Lebrun, Cl. Secundaria Edf. Pacentro Petare Caracas, Venezuela";"Estanterias Y Gondolas"
"CORPORACION PRIME GROUP-ATOX";"";"Tel: (58) (212) 6624935";"Santa Monica Caracas, Venezuela";"Estanterias Y Gondolas"
"PANORAMIC GLASS, C.A.";"";"Tel: (58) (212) 5146257";"La Candelaria, Caracas Caracas, Venezuela";"Estanterias Y Gondolas"
"ACEROS DIVERSIFICADOS STANTEX";"";"Tel: (58) (212) 9536348";"Final Cl Alameda No. 56 El Rosal Municipio Chacao Edo Miranda Caracas, Venezuela";"Estanterias Y Gondolas"
"DISTRIBUIDORA MEVEN S.R.L.";"";"Tel: (58) (281) 2696591";"Calle La Esperanza, Edif. Mita Amalia, N³91, Puerto La Cruz Puerto de  la Cruz, Venezuela";"Estanterias Y Gondolas"
"VITRINAS Y MUEBLES COMERCIALES C.A.";"";"Tel: (58) (286) 9520475";"Av Paseo Caroní, Unare L, Galpon No. 1 al lado C.C. El Paseo, Pto Ordaz,EdoBolivar. Ciudad Guayana Puerto Ordaz, Venezuela";"Estanterias Y Gondolas"
"FABRICA DE VITRINAS SKAYLA C.A.";"";"Tel: (58) (212) 3862215";"Av Lisandro Hernandez No. 38 Villa De Cura Edo Aragua Caracas, Venezuela";"Estanterias Y Gondolas"
"AVEMOCA C.A.";"";"Tel: (58) (212) 244357";"Pque Ind Standard Sector Caucaguita Km 14 Gp 2D Carr Vieja Guarenas, Venezuela";"Estanterias Y Gondolas"
"CORPORACION JUPITER C.A.";"";"Tel: (58) (286) 6519338";"Cdad. Bolivar Ciudad Guayana Puerto Ordaz, Venezuela";"Estanterias Y Gondolas"
"AMERICAN B & G CORPORATION C.A.";"";"Tel: (58) (212) 4515254";"CC Los Molinos Tercer Nivel L No. 68, San Martin Caracas, Venezuela";"Estanterias Y Gondolas"
"VITRIORIENTE C.A.";"";"Tel: (58) (286) 2674160";"Av. 5 de Julio, P.B.Local 241 (al lado del Banco Sur) Ciudad Guayana San Félix, Venezuela";"Estanterias Y Gondolas"
"VITRIARAGUA, C.A.";"";"Tel: (58) (243) 2369359";"Fundación Mendoza Maracay, Venezuela";"Estanterias Y Gondolas"
"DISMEVEN";"";"Tel: (58) (212) 2671558";"Av Constitucion No. 18, Paseo Miranda Caracas, Venezuela";"Estanterias Y Gondolas"
"EL REMATE DE LAS VITRINAS, C.A.";"";"Tel: (58) (212) 6312572";"Av. Nva. Granada con Padre Machado Loc. Nro.6 A 50 Mts de Banesco Caracas, Venezuela";"Estanterias Y Gondolas"
"IVENACA ESTANTES Y MOBILIARIOS DE ACERO";"";"Tel: (58) (212) 6324845";"CC Prado De Maria L 8, Prado De Maria Caracas, Venezuela";"Estanterias Y Gondolas"
"PROGLASS, C.A.";"";"Telefax: (58) (212) 5615990";"Av. Fzas. Armadas, Centro - Caracas Caracas, Venezuela";"Estanterias Y Gondolas"
"MOBICOM C.A.";"";"Tel: (58) (241) 8360802";"Calle Peña, res. Don Guillermo, Local 10 Valencia, Venezuela";"Estanterias Y Gondolas"
"A.R. ARCHIVOS RODANTES DE VENEZUELA, C.A.";"";"Tel: (58) (212) 2572859";"Av. Urimare 2, Macaracuay Caracas, Venezuela";"Estanterias Y Gondolas"
"VITRIMUEBLES EL VIGIA, S.R.I.";"";"Tel: (58) (275) 8813914";"Sc. Coco Frio El Vigía, Venezuela";"Estanterias Y Gondolas"
"SOLIDCON SOLUCIONES IDEAS Y CONCEPTOS C.A.";"";"Tel: (58) (212) 8336076";"Caracas Caracas, Venezuela";"Estanterias Y Gondolas"
"DISTALCON";"";"Tel: (58) (274) 4147986";"Av. 1, Hoyada De Milla, Local 5-59, Mérida Mérida, Venezuela";"Estanterias Y Gondolas"
"INDUSTRIAS VERCO, C.A.";"";"Tel: (58) (276) 7713450";"Carrera 16 NO. 2-62 San Antonio del Táchira, Venezuela";"Estanterias Y Gondolas"
"METALICAS GONCAR";"";"Tel: (58) (276) 3410179";"San Cristobal San Cristóbal, Venezuela";"Estanterias Y Gondolas"
"INDUSTRIA PROCESADORA DE METALES";"";"Tel: (58) (286) 5714256";"Ct. Los Guayos-Guacara al lado de E/S PDV Ciudad Guayana Puerto Ordaz, Venezuela";"Estanterias Y Gondolas"
"SUMINISROS JUPITER C.A.";"";"Tel: (58) (285) 6543974";"Av. Republica, Sector Plaza La Bandera Ciudad Bolivar, Venezuela";"Estanterias Y Gondolas"
"ESTANTERIAS LARA, C.A.";"";"Tel: (58) (251) 2690137";"Zona Industrial Il, Cl 4 Barquisimeto, Venezuela";"Estanterias Y Gondolas"
"FABRICACIONES HUBERT CHACÓN";"";"Tel: (58) (244) 3866380";"Sanabria Méndez Villa de Cura, Venezuela";"Estanterias Y Gondolas"
"ESTANTERIAS OFISIT";"";"Tel: (58) (212) 4712256";"Urb Industrial La Yaguara 2da Tv Edif Ofisit Caracas, Venezuela";"Estanterias Y Gondolas"
"LA FERIA DE LA VITRINA";"";"Tel: (58) (212) 6332914";"Av. Principal de Prado de María Local Nro.39 Caracas, Venezuela";"Estanterias Y Gondolas"
"DALMINE SOLUCIONES METALMECÁNICAS";"";"Tel: (58) (251) 2690311";"Barquisimeto Barquisimeto, Venezuela";"Estanterias Y Gondolas"
"PIAFERRO C.A.";"";"Tel: (58) (212) 5930842";"Urb Los Chaguaramos Av El Estadio Con Cl Los Abogados Edif Monte Carmelo Caracas, Venezuela";"Estanterias Y Gondolas"
"VITRINAS Y REFRIGERACION PARRA C.A.";"";"Tel: (58) (269) 2467406";"Calle Comercio, Esquina Monagas, Edif. Adicora, Local Nú 2 Punto Fijo Punto Fijo, Venezuela";"Estanterias Y Gondolas"
"AGAR ESTETICA";"";"Tel: (58) (261) 7523056";"Sucre-Maracaibo Maracaibo, Venezuela";"Estetica Y Belleza"
"FREYSSINET TIERRA ARMADA DE VENEZUELA C.A";"";"Tel: (58) (212) 2388285";"Av. Ppal. De Los Ruices,Edif.Lanex,Piso 1 Ofic. B, Los ruices ernardino Caracas Caracas, Venezuela";"Estribos"
"DISTRIBUIDORA UMMONTE, C.A.";"";"Tel: (58) (212) 2352340";"Av. Rómulo Gallegos, Centro Industrial Boleita Sur, Galpones 3 y 4 Caracas, Venezuela";"Extractores"
"TALLER ELECTRO INDUSTRIAL ABRIL, C.A.";"";"Tel: (58) (212) 5737432";"San Agustín del Sur, Calle Real El Mamón Casa 19, callejón La Cátedra Caracas, Venezuela";"Extractores"
"AEROMETAL, C.A. / REJILLAS NACIONALES, C.A.";"";"Tel: (58) (212) 2562576";"Final Av. Tamanaco, Cl. La Tinaja, Edif. Isamal, Urb. El LLanito -Caracas Caracas, Venezuela";"Extractores"
"FARMACIA GARITA";"";"Tel: (58) (212) 4839161";"Esq. Garita A Capuchino, San Juan Caracas, Venezuela";"Fiambreras"
"FERRETERIA CARACAS, S.A.";"";"Tel: (58) (212) 5416824";"Pquia Santa Teresa Caracas, Venezuela";"Fieltros"
"FILTROS INTERNACIONAL. C.A";"";"Tel: (58) (212) 2568313";"Av. Ppal De Lebrún Parcela No.2 df Ryo Petare Caracas, Venezuela";"Filtros Para Combustibles"
"REPRESENTACIONES RIVER IMPORT, C.A.";"";"Tel: (58) (241) 8345275";"Av Transversal, La Isabelica Valencia, Venezuela";"Filtros Para Combustibles"
"USA FILTRO";"";"Tel: (58) (212) 2347891";"Av. Ppal Boleita Caracas, Venezuela";"Filtros Para Combustibles"
"FILTROIL CORP, C.A.";"";"Tel: (58) (212) 2325072";"Cl. Vrgas Boleíta Norte Caracas, Venezuela";"Filtros Para Combustibles"
"FILTROS MILA D-03 CA";"";"Tel: (58) (212) 3419658";"Cantarrana - Guatire Guatire, Venezuela";"Filtros Para Combustibles"
"FILTROS SOTO, C.A.";"";"Tel: (58) (251) 4466776";"Cr . 19 E/Cll. 46 y 47 Barquisimeto, Venezuela";"Filtros Para Combustibles"
"RESPRESENTACIONES SUR";"";"Tel: (58) (261) 7173651";"Zona Ind. Sur C. Empresarial Nasa Local 21A Maracaibo, Venezuela";"Filtros Para Combustibles"
"DHARCO, C.A.";"";"Telefax: (58) (251) 4464673";"Cl. 35 E/ Carrt 24 Y 25 Barquisimeto, Venezuela";"Filtros Para Combustibles"
"RETECSA REPRESENTACIONES TECFIL, S.A.";"";"Tel: (58) (241) 4128292";"Av. Este-Oeste 2,Z Ind Municipal Norte Valencia, Venezuela";"Filtros Para Combustibles"
"AUTOPARTES VENEZOLANAS C.A";"";"Tel: (58) (261) 7557523";"Maracaibo Maracaibo, Venezuela";"Filtros Para Combustibles"
"CORPOFILTER, C.A.";"";"Tel: (58) (212) 2396320";"Los Ruices Caracas, Venezuela";"Filtros Para Combustibles"
"INVERSIONES Y FILTROS RM C.A";"";"Tel: (58) (273) 5335980";"Av Nicolas Briceño Barinas, Venezuela";"Filtros Para Combustibles"
"VENE FILTER, C.A.";"";"Tel: (58) (241) 8329696";"Zona Ind. Nte Prolog Av. Michelena Valencia, Venezuela";"Filtros Para Combustibles"
"DISTRIBUIDORA SOTERO SOUMEN, C.A.";"";"Tel: (58) (212) 3810578";"Interc. Nc Guatire - Guarenas Sc Las Flores Guatire, Venezuela";"Filtros Para Combustibles"
"PETROIL";"";"Tel: (58) (212) 3419423";"Zona Ind. Terrinca, Cl. 3, Galpón B, Guatire, Edo Miranda Caracas, Venezuela";"Filtros Para Combustibles"
"FILTROS ECO-FIL";"";"Tel: (58) (241) 8320107";"Av. Branger, Zona Industrial sur Ccp Arturo Michelena, Galpón Nro. G-1 Valencia, Venezuela";"Filtros Para Combustibles"
"REPRESENTACIONES JOLIFILTER";"";"Telefax: (58) (243) 2616508";"Santa Cruz De Araguas Santa Cruz de Aragua, Venezuela";"Filtros Para Combustibles"
"FLORES Y ALGO MAS";"";"Tel: (58) (286) 9627405";"Los Olivos Cc Santo Tome lllPs1 Lc 46 Ciudad Guayana Puerto Ordaz, Venezuela";"Flores"
"FLORES, NOLA DE";"";"Tel: (58) (212) 4620339";"Av. Principal San Martin Caracas, Venezuela";"Flores"
"PAREJO FLOR";"";"Tel: (58) (212) 4616365";"Av. De Las Artigas, San Martin Caracas, Venezuela";"Flores"
"CERRAJERÍA LAS FLORES";"";"Tel: (58) (274) 3468243";"Av. Oriental Mérida, Venezuela";"Flores"
"FLORES MIMINGA";"";"Tel: (58) (251) 2317442";"Av. Venezuela e/Cls.25 y 26 Barquisimeto, Venezuela";"Flores"
"FLORES PRIMAVERA";"";"Tel: (58) (246) 8713415";"Cr 13, Centro, Calabozo Calabozo , Venezuela";"Flores"
"PALACIO LAS FLORES, C.A.";"";"Tel: (58) (241) 8580212";"Av Bolívar 113-117, Valencia Valencia, Venezuela";"Flores"
"ABASTOS FLOR DEL SOL S.R.L.";"";"Tel: (58) (212) 6617472";"Av. Cnas de L Chaguaramos, Los Chaguaramo Caracas, Venezuela";"Flores"
"REPUESTOS JOSÉ FLORES, C.A.";"";"Tel: (58) (212) 4716264";"Av Rotaria, Qta Geraldine Local A, La Rotaria, Caracas Caracas, Venezuela";"Flores"
"TRANSPORTES Y SERVICIS FLORES";"";"Tel: (58) (243) 2721350";"La Esmeralda Maracay, Venezuela";"Flores"
"FLORISTERIA FLORES Y DETALLES C,A";"";"Tel: (58) (281) 2775850";"Cl Union Barcelona, Venezuela";"Flores"
"FLORES Y DECORACIONES CELLO, C.A.";"";"Tel: (58) (212) 2846228";"9na Trans, L P Grandes Caracas, Venezuela";"Flores"
"PANADERIA FLOR DEL ROSAL DELI";"";"Tel: (58) (212) 9531537";"Av Venezuela El Rosal Caracas, Venezuela";"Flores"
"FLORISTERIA FLOR GINA, C.A.";"";"Telefax: (58) (212) 3714072";"Los Castores San Antonio De Los Altos, Venezuela";"Flores"
"HIPERLICORES FLOR DE MACARACUAY, C.A.";"";"Tel: (58) (212) 2565250";"Av. Naiguata, Macaracauay C.C. Macaracuay Caracas, Venezuela";"Flores"
"EL DELIRIO DE LAS FLORES C.A";"";"Tel: (58) (274) 2637481";"Av Gonzalo Picón Mérida, Venezuela";"Flores"
"CENTRO CLÍNICO FLOR AMARILLO";"";"Tel: (58) (241) 8782932";"Flor Amarillo Valencia, Venezuela";"Flores"
"LACTEOS FLOR DECATIA, C.A";"";"Tel: (58) (212) 8721738";"Cl Argentina, Catia Entre Cristo Y Panamericana Caracas, Venezuela";"Flores"
"FLORES Y NOVIAS FLORISTERIA";"";"Tel: (58) (295) 2643928";"Calle Jesus Maria Patiño Porlamar, Venezuela";"Flores"
"JARDIN FLORES LINDAS";"";"Tel: (58) (212) 5746913";"Plaza Venezuela Caracas, Venezuela";"Flores"
"ANDREA FLORES Y DISEÑO C,A";"";"Tel: (58) (281) 2627081";"Av Bolivar ,Maneiro Lecherías, Venezuela";"Flores"
"MULTISERVICIOS HJ FLORES, C.A.";"";"Tel: (58) (212) 6938055";"Cl.Cajigal, Valle Abajo Caracas, Venezuela";"Flores"
"PANADERIA FLOR DE MAGALLANES, C.A.";"";"Tel: (58) (241) 8788821";"Flor Amarillo Valencia, Venezuela";"Flores"
"FLORISTERIA LA MANSION DE LAS FLORES";"";"Tel: (58) (283) 2350857";"8va Calle sur con 2da Carrera El Tigre, Venezuela";"Flores"
"REPUESTOS LAS FLORES 99, C.A.";"";"Tel: (58) (212) 3811449";"Av Nac Guarenas-Guatire, Las Flores Guatire, Venezuela";"Flores"
"ADILE FLORES EXOTICAS";"";"Tel: (58) (212) 9446161";"El Hatillo Caracas, Venezuela";"Flores"
"TRANSPORTE FLORES GARCIA S.R.L.";"";"Tel: (58) (212) 5774242";"San Agustin Del Norte Caracas, Venezuela";"Flores"
"Q© TORTAS FLORES";"";"Tel: (58) (212) 28083845";"Calle 1ero de mayo,a tres cuadra de la av.fernandez padilla subiendo por 18 de octubre, cuce a la izquierda, Caracas, Venezuela";"Flores"
"FLORISTERÍA FLOR DE LOTO";"";"Tel: (58) (251) 2310891";"Esquina Calle 26 Barquisimeto, Venezuela";"Flores"
"FLORISTERIA STELAR FLORES";"";"Tel: (58) (212) 6617330";"Av. Teresa De La Parra Santa Monica Caracas, Venezuela";"Flores"
"FLOR ITALICA C.A";"";"Telefax: (58) (261) 7929843";"Cl 67 Cecilio Acosta, Local 3C-158 Maracaibo, Venezuela";"Flores"
"FLORES Y DETALLES EL JARDÍN";"";"Tel: (58) (276) 3414316";"La Ermita San Cristóbal, Venezuela";"Flores"
"INVERSIONES FLOR DE LUNA, C.A.";"";"Tel: (58) (241) 8978133";"Av Lisandro Alvarado, Av El Milagro, Valencia Valencia, Venezuela";"Flores"
"DISTRIBUIDORA DE FLORES DOÑA EMILIA";"";"Tel: (58) (241) 8244507";"Valle De Camoruco, Valencia Valencia, Venezuela";"Flores"
"FLORISTERIA TRINY FLOR, C.A.";"";"Tel: (58) (212) 9443423";"La Trinidad Caracas, Venezuela";"Flores"
"REPRSENTACIONES FLORES EN ARMONIA, C.A.";"";"Tel: (58) (212) 7317265";"Trans Pedroza Quinta 15-1 La Florida Caracas, Venezuela";"Flores"
"PASTELERIA Y BOMBONERIA LA FLOR Y NATA";"";"Tel: (58) (212) 5725832";"La Candelaria Caracas, Venezuela";"Flores"
"FLORISTERÍA Y VARIEDADES LA BOUTIQUE DE LAS FLORES";"";"Tel: (58) (275) 4330343";"Cl. Alegría San Carlos de Zulia, Venezuela";"Flores"
"FLORES OLEGARIO , S.R.L.";"";"Tel: (58) (212) 6311689";"Las Acacias, Av. Victoria Frente Al Central Madeirense Caracas, Venezuela";"Flores"
"TASCA RESTAURANT LA FLOR DE LAS TERRAZAS";"";"Tel: (58) (212) 6930249";"Av. Arturo Michelena C/C Manuel Díaz Rodríguez Santa Mónica Caracas, Venezuela";"Flores"
"FLORES JADE CA";"";"Tel: (58) (281) 2650201";"Frente a pollos Costa Azul Cl Democracia Puerto de  la Cruz, Venezuela";"Flores"
"FARMACIA FLOR DE PATRIA";"";"Tel: (58) (272) 6781271";"Flor de Patria -Pampan Pampán, Venezuela";"Flores"
"FERRETERIA FLOR DE COCHE, C.A.";"";"Tel: (58) (212) 6826666";"Av. G Blanco, Coche Caracas, Venezuela";"Flores"
"FLORES Y REGALOS NORE";"";"Tel: (58) (212) 5765284";"Av. Este 0 Con 19 Sur C.C. Parque Caracas Lc. 51. La Candelaria Caracas, Venezuela";"Flores"
"GONZÁLEZ FLORES & ASOCIADOS";"";"Tel: (58) (286) 9312007";"Av.Ppal Dalla Costa Ciudad Guayana Puerto Ordaz, Venezuela";"Flores"
"PASTELERIA FLOR DE CASTILLA";"";"Tel: (58) (212) 2616571";"Av.Luis Roche Altamira Sur Caracas, Venezuela";"Flores"
"FLORES Y DECORACIONES ROMELIA, C.A.";"";"Tel: (58) (212) 2638181";"Cl. Miranda Chacao Caracas, Venezuela";"Flores"
"AREPERA MY FLOR";"";"Tel: (58) (212) 5754947";"La Candelaria Caracas, Venezuela";"Flores"
"AZZAHARA FLORES Y EVENTOS";"";"Tel: (58) (261) 7974634";"Cl 72 Con Av 9B C.C San Onofre Maracaibo, Venezuela";"Flores"
"PANADERIA FLOR DEL ATLANTICO";"";"Tel: (58) (212) 8703675";"Av Atlántico Catia Caracas, Venezuela";"Flores"
"PANADERIA Y PASTELRIA FLOR DEL MARQUES";"";"Tel: (58) (212) 2385064";"Av Zans El Marques Caracas, Venezuela";"Flores"
"LACTEOS FLOR DEL GUARICO C.A";"";"Tel: (58) (235) 3419145";"Av Libertador Valle de la Pascua, Venezuela";"Flores"
"FLÓRES Y DETALLES GISEL'S";"";"Tel: (58) (251) 2330602";"Calle 26 Entre Calle 25 Barquisimeto, Venezuela";"Flores"
"FARMACIA LAS FLORES, S.A.";"";"Tel: (58) (282) 4552971";"Cl Las Flores, Inavi Cantaura, Venezuela";"Flores"
"PANADERIA Y PASTELERIA FLOR DE MAGDALENO";"";"Tel: (58) (244) 8461279";"Av. Bolivar Magdaleno, Venezuela";"Flores"
"LA ELECTRICA-SUCESORA DE F. FLORES C.A.";"";"Tel: (58) (212) 5783576";"Socarras A Puente Yanes No. 62, La Candelaria Caracas, Venezuela";"Flores"
"INDUSTRIA CINTA FLOR DISTRIBUIDORA EL GLOBO";"";"Tel: (58) (212) 5766173";"San Fidel A Libertad No. 8 Sarria Caracas, Venezuela";"Flores"
"DECORACIONES Y FLORES DE VISTA ALEGRE, C.A.";"";"Tel: (58) (212) 4711739";"Cl. 2 Vista Alegre Caracas, Venezuela";"Flores"
"PANADERIA PASTELERIA LA FLOR DEL GRECO C.A";"";"Tel: (58) (212) 6330803";"Av Victoria Las Acacias Caracas, Venezuela";"Flores"
