"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"MEZA M., HERMES DR.";"";"Tel: (58) (285) 6322990";"Centro Medico Orinoco Const. 41 Piso 1, Edif. Primero Av. Siegart Ciudad Bolivar, Venezuela";"Médicos Especialistas Y Cirujanos"
"CENTRO CLINICO UROLOGICO BARQUISIMETO";"";"Tel: (58) (251) 2318844";"Torre La Previsora, Carr. 19, Esq. Calle 33, Piso 2, Mezz-2, Barquisimeto Barquisimeto, Venezuela";"Médicos Especialistas Y Cirujanos"
"PEREZ H, JORGE DR.";"";"Tel: (58) (243) 2451854";"Unidad Medica Cosmopolitan Maracay Maracay, Venezuela";"Médicos Especialistas Y Cirujanos"
"ORTEGA LARA, JOSE DR.";"";"Tel: (58) (212) 7936181";"Policlinica Méndez Gimón Av. Andrés Bello, La Florida Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"LEMOINE, FREDERIC DR.";"";"Tel: (58) (243) 2471466";"Av. 19 de Abril Maracay, Venezuela";"Médicos Especialistas Y Cirujanos"
"UNIDAD CLINICA QUIRURGICA LAR";"";"Tel: (58) (243) 2414465";"Detras De La Camara De Comercio La Floresta Maracay, Venezuela";"Médicos Especialistas Y Cirujanos"
"BORRERO R., JOSE A.";"";"Tel: (58) (276) 3490300";"Policlinica Tachira San Cristóbal, Venezuela";"Médicos Especialistas Y Cirujanos"
"ILICIARTE L, JOSE M";"";"Tel: (58) (243) 2321777";"Av Las Delicias Maracay, Venezuela";"Médicos Especialistas Y Cirujanos"
"FEO, MARITZA";"";"Tel: (58) (241) 8574554";"C.M.G. Méndez, Edif. Anexo, Cons. 017 Valencia, Venezuela";"Médicos Especialistas Y Cirujanos"
"MALDONADO A, JOSE DR.";"";"Tel: (58) (249) 8252146";"Ctro Policlín, La Viña Bejuma, Venezuela";"Médicos Especialistas Y Cirujanos"
"NARCISO M, LUIS A. DR.";"";"Tel: (58) (212) 9080264";"Policlínica Metropolitana 2do. Piso Consultorio 2-0 Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"KAAKEDJIAN, GARBIS DR.";"";"Tel: (58) (212) 9857141";"Caurimare Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"HOYER, CARLOS DR.";"";"Tel: (58) (212) 9855133";"Cl A-1, Caurimare Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"TABORDA, JULIAN DR";"";"Tel: (58) (212) 7630312";"Av. Libertador, La Campiña Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"FERNANDEZ P., RANDOLFO J. DR.";"";"Tel: (58) (212) 9912464";"Ctro. Prof. Las Mercedes, Piso 4-45 Av. Ppal., Las Mercedes Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"DEL REGUERO ANTONIO DR.";"";"Tel: (58) (212) 5525919";"Ctro. Medico San Bernardino Anexo A, Sotano 1 Consult. 18 Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"SALINAS K., ALBERTO DR.";"";"Tel: (58) (212) 5746261";"Hospital Clínicas Ccs, Piso 3 Cons 329, San Bernardino Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"MENDOZA B., MILTON I.";"";"Tel: (58) (212) 5781458";"Av. Juan De Villegas, San Bernardino Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"AMAYA L., VICTOR DR.";"";"Tel: (58) (212) 9851326";"Caurimare - Caracas Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"ORTIZ, MAGALLY C DRA.";"";"Tel: (58) (212) 2860570";"Piso 1, Consult. 112-A Inst. Médico La Floresta Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"QUINTERO, BORIS DR.";"";"Tel: (58) (241) 8345108";"La Isabelica - Valencia Valencia, Venezuela";"Médicos Especialistas Y Cirujanos"
"RINCONES C., RAUL DR.";"";"Tel: (58) (243) 8580468";"Cl. 111, Los Colorados Maracay, Venezuela";"Médicos Especialistas Y Cirujanos"
"MOLINA B, MANUEL";"";"Tel: (58) (274) 2634744";"Oficentro El Encanto Mérida, Venezuela";"Médicos Especialistas Y Cirujanos"
"LARA G., RAFAEL A.";"";"Tel: (58) (212) 5502737";"Cl. Mariscal Sucre, San Bernardino Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"SEIJIRO YAZAWA IWAI C.A.";"";"Tel: (58) (212) 9919112";"Cl. París Edif. Seijiro Yazawa Iwal C.A. Las Mercedes Caracas - Venezuela Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"CENTRO MEDICO LOS ANDES, S.R.L.";"";"Tel: (58) (276) 7715616";"San Antonio de Tachira San Antonio del Táchira, Venezuela";"Médicos Especialistas Y Cirujanos"
"LIZARRAGA, PEDRO DR.";"";"Tel: (58) (212) 5521120";"San Bernardino Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"CLINICA SANTIAGO DE MERIDA";"";"Tel: (58) (274) 2636183";"Av. 2, El Encanto Mérida, Venezuela";"Médicos Especialistas Y Cirujanos"
"UNIDAD DE CIRUGIA BUCAL";"";"Tel: (58) (243) 2323466";"Edif Amazonas Loc 4 PB 6ta Av La Soledad Maracay, Venezuela";"Médicos Especialistas Y Cirujanos"
"OLIVARES R., JUAN JOSE DR.";"";"Tel: (58) (212) 9596489";"Ccct, Torre B, Piso 12 Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"HURTADO C, OSCAR DR";"";"Tel: (58) (212) 9792375";"Clínica Leopol. Aguerrevere Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"PORTA CH, ENRIQUE DR.";"";"Tel: (58) (212) 9850881";"Caurimare Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"CONSULTORIO ODONTOLOGICO DR.COSME MONTILLA";"";"Tel: (58) (281) 2672024";"Centro -Pto L Cruz Puerto de  la Cruz, Venezuela";"Médicos Especialistas Y Cirujanos"
"GARCIA E, LUIS DR.";"";"Telefax: (58) (261) 7410557";"La Trinidad Maracaibo, Venezuela";"Médicos Especialistas Y Cirujanos"
"UNIDAD MÉDICA QUIRURGICA DR. RAMON FLORES";"";"Tel: (58) (251) 2321982";"Edif. Cavendes, P-1, Cons. 1-2, Carrera 18, E/Cls 23 Y 24 Barquisimeto, Venezuela";"Médicos Especialistas Y Cirujanos"
"CENTRO DENTAL CLYO";"";"Tel: (58) (269) 2479103";"Cl. Brasil E/Garces Punto Fijo, Venezuela";"Médicos Especialistas Y Cirujanos"
"MORENO, ARTURO E. DR.";"";"Tel: (58) (261) 7432119";"Ctro. Medico Paraiso Maracaibo, Venezuela";"Médicos Especialistas Y Cirujanos"
"MELENDEZ S, LINDA DRA.";"";"Tel: (58) (251) 2533298";"U. Quirúrgica Los Leones, P. 2. Cons B, Entre Av. Lara Y Madrid, Av. Los Leones Barquisimeto, Venezuela";"Médicos Especialistas Y Cirujanos"
"ROJAS L., ORLANDO DR.";"";"Tel: (58) (212) 4435387";"Vista Alegre Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"CENTRO OFTALMOLOGICO METROPOLITANO, C.A.";"";"Tel: (58) (276) 3470833";"Av. 19 De Abril San Cristóbal, Venezuela";"Médicos Especialistas Y Cirujanos"
"LINEA MÉDICA, S.A.";"";"Tel: (58) (261) 7415076";"Av. Universidad, Maracaibo Maracaibo, Venezuela";"Médicos Especialistas Y Cirujanos"
"CLINICA SINAI";"";"Telefax: (58) (274) 2621362";"Av. Los Proceres, Sector Lumonty Calle El Higueron Mérida, Venezuela";"Médicos Especialistas Y Cirujanos"
"QUIÑONES, PEDRO DR";"";"Tel: (58) (243) 2831808";"Centro Medico El Limon Maracay, Venezuela";"Médicos Especialistas Y Cirujanos"
"CIRUGIA PLASTICA";"";"Tel: (58) (212) 2097708";"Av. Libertador Torre Maracaibo Piso 9 Consultorio 9 F Caracas, Venezuela";"Médicos Especialistas Y Cirujanos"
"EXPLOSUB VENEZUELA";"";"Telefax: (58) (281) 2673256";"Lecherias Lecherías, Venezuela";"Medios De Transporte"
"ROTOURVAL, C.A.";"";"Tel: (58) (241) 8237523";"Av. Bolívar Norte Valencia, Venezuela";"Medios De Transporte"
"CHINCHILLA'S VIAJES Y TURISMO";"";"Tel: (58) (212) 6937485";"Teresa de La Parra, Santa Mónica Caracas, Venezuela";"Medios De Transporte"
"RINO FERRARI S.A";"";"Tel: (58) (212) 2577320";"Av. Milan Los Ruices Sur Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTES NAECO S.R.L.";"";"Tel: (58) (212) 6284104";"Av. Lecuna Torre Profecional de Centro P-5 Ofc. 504 Caracas, Venezuela";"Medios De Transporte"
"TRANSOTHER, C.A.";"";"Telefax: (58) (291) 6517743";"Av Bella Vista, Maturin Maturín, Venezuela";"Medios De Transporte"
"SA PRAT VIAJES Y TURISMO";"";"Tel: (58) (241) 8256318";"Av. Bolívar Nte., Guaparo Valencia, Venezuela";"Medios De Transporte"
"DOMINIO DIGITAL, C.A.";"";"Tel: (58) (274) 2667374";"Cl. Chama, La Pedregosa Mérida, Venezuela";"Medios De Transporte"
"FRANCISKI TOURS, C.A.";"";"Tel: (58) (212) 9516806";"Av. Ppal del Bosque, Chacaíto Caracas, Venezuela";"Medios De Transporte"
"GRÚAS Y MULTISERVICIOS GRANADILLO, CA";"";"Tel: (58) (241) 8590990";"Callejón El Rosarito, Nro. 107-A-235 Diagonal Al Módulo De Transito. Valencia, Venezuela";"Medios De Transporte"
"ROSY FREIGHT SERVICES, C.A.";"";"Tel: (58) (212) 4838061";"El Paraiso Ctro. Plaza Páez Caracas, Venezuela";"Medios De Transporte"
"NAVES DE VENEZUELA, C.A.";"";"Tel: (58) (261) 7926697";"Av.2 El milagro con calle 86 Edif.Camara de Comercio Ps. 1-A Maracaibo, Venezuela";"Medios De Transporte"
"GLADYS TOURS";"";"Tel: (58) (241) 8667161";"Avenida 108, Colón Naguanagua, Venezuela";"Medios De Transporte"
"GONZALO TOURS";"";"Tel: (58) (281) 2740650";"Av. José Antonio Anzoátegui Arpto J A, Anzoátegui Puerto de  la Cruz, Venezuela";"Medios De Transporte"
"VIP VENEZUELAN INTERNATIONAL PACKERS, C.A.";"";"Tel: (58) (212) 3520444";"La Guaira La Guaira, Venezuela";"Medios De Transporte"
"EXPRESOS MERIDA C.A.";"";"Tel: (58) (276) 3468365";"Oficina Principal Prolong. 5ta Av. No. 7-209 San Cristóbal, Venezuela";"Medios De Transporte"
"LISMAR VIAJES Y TURISMO, C.A.";"";"Tel: (58) (241) 8222022";"Av. Bolívar Nte, Las Acacias Valencia, Venezuela";"Medios De Transporte"
"AMERICAN AIRLINES";"";"Tel: (58) (212) 3551711";"Aeropuerto Simon Bolivar Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES PASSARINI - SUÁREZ, C.A.";"";"Tel: (58) (212) 3734480";"San Antonio Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE MAPOGUA, C.A.";"";"Tel: (58) (286) 9941960";"Zona Ind Los Pinos Ciudad Guayana San Félix, Venezuela";"Medios De Transporte"
"IMBAMATIC EQUIPOS";"";"Tel: (58) (212) 2869239";"Av. Fco De Miranda, Los Palos Grandes Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE DE CARGA ABADIA, C.A.";"";"Tel: (58) (276) 7712152";"Cr. 10 La Popa San Antonio del Táchira, Venezuela";"Medios De Transporte"
"FABRICACIÓN AUTOMOTRIZ YUTICO 2001, C.A.";"";"Tel: (58) (212) 3838532";"Cl Principal, Barola, Carrizal Carrizal, Venezuela";"Medios De Transporte"
"TRANSPORTE RESPONSABLE DEL SUR, C.A.";"";"Tel: (58) (291) 2351277";"Sector La Botella Vía Pariaguán, al Lado de Cervecería Regional, El Tigre, Estado Anzoátegui Maturín, Venezuela";"Medios De Transporte"
"VIAJES Y TURISMO LUZANDRA, C.A.";"";"Tel: (58) (276) 7711252";"Calle 7, Barrio Bolivar San Antonio del Táchira, Venezuela";"Medios De Transporte"
"LINEA LOS ANDES";"";"Tel: (58) (274) 2635779";"Av. L Americas, Tmmal de Pasajeros Mérida, Venezuela";"Medios De Transporte"
"M Y M YAGUARA C.A";"";"Tel: (58) (212) 4715216";"Av. Principal De La Yaguara Centro Empresarial Mpa Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE SARI";"";"Tel: (58) (261) 7363706";"Av. 59, 1ra Etapa, Zona Ind, Local 140-425 Maracaibo, Venezuela";"Medios De Transporte"
"SERVICIOS DE GRÚAS ALAMO, C.A.";"";"Tel: (58) (212) 6624194";"Av Zuloaga, Los Rosales, Caracas Caracas, Venezuela";"Medios De Transporte"
"GRÚAS MELINA";"";"Tel: (58) (212) 4165836";"Av El Centro, Montecristo, Caracas Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES TURIFRONTERA, C.A.";"";"Tel: (58) (276) 7715597";"Av. 1 De Mayo, Esq. Carrera 8 San Antonio del Táchira, Venezuela";"Medios De Transporte"
"ALDEBARAN SHIPPING SERVICES, C.A.";"";"Tel: (58) (281) 2688313";"C.C El Paseo, Ps 1, Ofc.5 Puerto de  la Cruz, Venezuela";"Medios De Transporte"
"GRÚAS MC CHACAO";"";"Tel: (58) (212) 2667685";"Calle Urdaneta, Chacao, Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE CHEITO II C.A.";"";"Tel: (58) (261) 7624054";"Paraiso Maracaibo, Venezuela";"Medios De Transporte"
"MOTOENTREGA";"";"Tel: (58) (276) 3566459";"Cl. 15, Barrio Obrero, San Cristóbal San Cristóbal, Venezuela";"Medios De Transporte"
"DIESEL TUY C.A";"";"Tel: (58) (212) 2486182";"Ct. Charallave - Cúa Río Tuy Caracas, Venezuela";"Medios De Transporte"
"GRÚAS FM";"";"Tel: (58) (212) 9452170";"Calle Uribante, La Trinidad, Caracas Caracas, Venezuela";"Medios De Transporte"
"GRÚAS APP C.A.";"";"Cel.: (58) 3243690";"Caracas Caracas, Venezuela";"Medios De Transporte"
"GRÚAS ANTÍMANO, C.A.";"";"Tel: (58) (212) 4728948";"Cl Real, Antímano, Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE Y SERVICIOS FRANKMEJ, C.A.";"";"Tel: (58) (243) 2619304";"CI. Hernandez Nadal, Patrocinio P Ruiz Santa Cruz de Aragua, Venezuela";"Medios De Transporte"
"TRANPORTE PACHECO";"";"Tel: (58) (212) 8703216";"Av. 2 Catia Caracas, Venezuela";"Medios De Transporte"
"FRONT MOVER & LOGISTICS";"";"Tel: (58) (212) 2675517";"Av Francisco De Miranda Edif Palmira Piso 2 Of 2 Chacao Frente A La Plaza El Indio Caracas, Venezuela";"Medios De Transporte"
"MULTI SERVICIO MARCOZZI";"";"Tel: (58) (277) 2911938";"Ct.Panamericana Colón, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES CANDES ALTA VISTA C.A.";"";"Tel: (58) (286) 9234335";"Carrera Guasipati, Edif. Silfrani P.B. Puerto Ordaz, Edo. Bolívar Ciudad Guayana Puerto Ordaz, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES KARUAI, C.A.";"";"Tel: (58) (286) 9234963";"Calle La Urbana C.C. Moripa Local C3, Castillito Ciudad Guayana Puerto Ordaz, Venezuela";"Medios De Transporte"
"KOALA PROPELLERS, C.A";"";"Tel: (58) (243) 2694009";"La Providencia Ct. Maracay Maracay, Venezuela";"Medios De Transporte"
"DINAMO DISTRIBUIDORA NACIONAL DE MOTORES";"";"Tel: (58) (212) 2853811";"Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE 4G";"";"Tel: (58) (243) 5515183";"Zona Industrial San Vicente I, Calle Los Teques Maracay, Venezuela";"Medios De Transporte"
"TRANSPORTE SIRACUSA, C.A.";"";"Tel: (58) (271) 2253351";"Los Bambues Valera, Venezuela";"Medios De Transporte"
"CARACOL CA";"";"Tel: (58) (212) 2412878";"Zona Industrial, Galpones F1 y F2.El Tigre, Edo. Anzoátegui Caracas, Venezuela";"Medios De Transporte"
"GRABADOS Y GOMAS FLEXIBLES ANDINA C.A.";"";"Tel: (58) (241) 8387118";"Cl. D, La Quizanda Valencia, Venezuela";"Medios De Transporte"
"GRUPO ZOMOS C.A.";"";"Tel: (58) (212) 3227846";"Los Teques Los Teques, Venezuela";"Medios De Transporte"
"SERVIAUTOMOTRIZ YSMAEL";"";"Tel: (58) (235) 3411942";"Cl. Los Ilustres N³ 81 Sct. Guaicaipuro Valle de la Pascua, Venezuela";"Medios De Transporte"
"MUDANZAS INTERNACIONAL GLOBAL C.A";"";"Tel: (58) (212) 2570703";"Caracas Puerto La Cruz Caracas, Venezuela";"Medios De Transporte"
"EJECUTIVOS GERFEMAR, C.A.";"";"Tel: (58) (212) 3933372";"Caracas Baruta Caracas, Venezuela";"Medios De Transporte"
"ALFREDO ROJAS";"";"Tel: (58) (241) 8347507";"La Isabelita Valencia, Venezuela";"Medios De Transporte"
"COINTRASA";"";"Tel: (58) (276) 7870602";"Ureña Carrera 3a. N³ 1-51 Ofic N³A-2 Barrio La Pesa Ureña, Venezuela";"Medios De Transporte"
"TRANSPORTE MULTICARGAS 4894, C.A.";"";"Tel: (58) (212) 9598140";"Chuao- Caracas Caracas, Venezuela";"Medios De Transporte"
"EXPRESOS LOS ANDES, C.A.";"";"Tel: (58) (272) 6522446";"Terminal De Pasajeros José María Bastidas, Bocono Boconó, Venezuela";"Medios De Transporte"
"TRANSPORTE EMBASSY VENEZUELA, C.A.";"";"Tel: (58) (212) 7614912";"Cl. El Colegio, Sabana Grande Caracas, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES Y TURISMO LOS ANDES";"";"Tel: (58) (274) 2638025";"Edificio El Parque P.B. Local 2-29, Gloria Patrias Mérida, Venezuela";"Medios De Transporte"
"TRANSPORTE FUTURO, CA";"";"Tel: (58) (212) 5740494";"Esq. Horcones, San Agustín Caracas, Venezuela";"Medios De Transporte"
"ISAAC TRAVEL VIAJES Y TURISMO, C.A.";"";"Tel: (58) (212) 3811410";"Av. Intercomunal - Guatire Guatire, Venezuela";"Medios De Transporte"
"TRANSPORTE TRANSER 25 CA";"";"Tel: (58) (212) 2435764";"Kilometro 1 La Cuesta Caracas, Venezuela";"Medios De Transporte"
"CORPORACIÓN UNIÓN SANTA FE CA";"";"Tel: (58) (212) 5323369";"Carretera Petare, Sta Lucia Km10, Galpón 1 Filas de Mariche Edo.Miranda Caracas, Venezuela";"Medios De Transporte"
"INSTAMONTA, C.A.";"";"Tel: (58) (286) 9943456";"Calle El Pardillo, Ud-504 A 100 Metros De Cantera Uricao Zona Ind Matanzas, Pto. Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Medios De Transporte"
"MUNDO TURISMO C.A.";"";"Tel: (58) (295) 2646206";"Cl. Morel, Porlamar Porlamar, Venezuela";"Medios De Transporte"
"ROYMAR VIAJES Y TURISMO, C.A.";"";"Tel: (58) (212) 3810820";"Av. Fco. de Miranda, Boleíta C.C. Oasis, Guatire Guatire, Venezuela";"Medios De Transporte"
"UNIVERSAL TOURS, C.A.";"";"Tel: (58) (212) 7510110";"Cl. Caurimare, Cnas de Bello Monte Caracas, Venezuela";"Medios De Transporte"
"TEAL C.A.";"";"Tel: (58) (273) 5324604";"Av. 23 De Enero, Barinas Barinas, Venezuela";"Medios De Transporte"
"TRI CARGO EXPRESS, C.A.";"";"Tel: (58) (241) 8583693";"Av.Cedeño,Las Flores Valencia, Venezuela";"Medios De Transporte"
"VENEZUELAN INTERNACIONAL LOGISTIC, C.A. VILCA";"";"Tel: (58) (212) 9592027";"C.C.C.T., Torre C, Piso 6, Ofic. C-602 Av La Estancia, Chuao Caracas, Venezuela";"Medios De Transporte"
"CONCHITA TOURS AGENCIA DE VIAJES, C.A.";"";"Tel: (58) (212) 7625382";"Av. Casanova, Edif. Carúpano, Local2 Sabana Grande Caracas, Venezuela";"Medios De Transporte"
"INTERNACIONAL AGENCIA DE VIAJES, C.A.";"";"Tel: (58) (212) 9935072";"Las Mercedes - Caracas Caracas, Venezuela";"Medios De Transporte"
"CIRCUS VIAJES, C.A.";"";"Tel: (58) (251) 2540144";"Edificio Dalfa, Planta baja Avenida Terapaima el Pedregal Barquisimeto, Venezuela";"Medios De Transporte"
"ADUANTIR C A";"";"Tel: (58) (212) 3327770";"Edif Bnd, Piso 1 Plaza El Consultor Maiquetía Caracas, Venezuela";"Medios De Transporte"
"INTERCAR, C.A.";"";"Tel: (58) (212) 7873155";"Zona Ind. Ureña Caracas, Venezuela";"Medios De Transporte"
"AGENCIA ALCON CANARIO SRL";"";"Tel: (58) (212) 7301189";"Pedroza La Florida Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE AMAZONAS, C.A";"";"Tel: (58) (269) 2472555";"Caja de Agua Punto Fijo, Venezuela";"Medios De Transporte"
"UNION DE CONDUCTORES AYACUCHO, C.A.";"";"Tel: (58) (241) 8718264";"Zona Ind. Castillito Valencia, Venezuela";"Medios De Transporte"
"VIX VIAJES Y TURISMO";"";"Tel: (58) (241) 8588735";"CI. Carabobo, Lomas Del Este Valencia, Venezuela";"Medios De Transporte"
"GRÚAS BEPISA, S.R.L.";"";"Tel: (58) (251) 7189350";"Carrera 5, entre Calles 19 y 20 Barquisimeto, Venezuela";"Medios De Transporte"
"HAMBURG SUD VENEZUELA C.A";"";"Tel: (58) (212) 9934404";"Chuao Caracas, Venezuela";"Medios De Transporte"
"KERTESZ & KERTESZ, C.A.";"";"Tel: (58) (212) 2635346";"Av San Juan Bosco, Edf. Caracas, Venezuela";"Medios De Transporte"
"RODOVIAS DE VENEZUELA";"";"Tel: (58) (212) 5776833";"Av. Libertador a 100 mts del Colegio de Ingenieros paseo Amador Bendayan Caracas, Venezuela";"Medios De Transporte"
"METALURGICA MERIDIONAL, C.A.";"";"Tel: (58) (251) 2666402";"Cl. 4, El Sisal Barquisimeto, Venezuela";"Medios De Transporte"
"AEROCHARTER V.I.P., C.A.";"";"Tel: (58) (212) 2855539";"Av Fco. De Miranda, Centro Plaza, Torre B Piso 18, Ofics. 16 - 17, Los Palos Grandes, Caracas Caracas, Venezuela";"Medios De Transporte"
"BALANZASLARA ESPECIALISTAS EN PESAJE";"";"Tel: (58) (241) 2614215";"valencia Valencia, Venezuela";"Medios De Transporte"
"KIMIVANELI TOURS, C.A.";"";"Tel: (58) (212) 4842645";"Quinta Crespo-Caracas Caracas, Venezuela";"Medios De Transporte"
"EL CAPITAN CENTRO NAUTICO, C.A";"";"Tel: (58) (212) 2670485";"C.c Bello Campo Niv. Jardin LoC. 52y 57 Av Ppal, Bello Campo Caracas, Venezuela";"Medios De Transporte"
"MERCOTUR INTERNACIONAL, C.A.";"";"Tel: (58) (276) 3563849";"Centro Comercial Los Naranjos Piso 2, Local 25 Av. España, Pueblo Nuevo San Cristóbal, Venezuela";"Medios De Transporte"
"ACOTRACUM";"";"Tel: (58) (291) 6526759";"Av Bella Vista Maturín, Venezuela";"Medios De Transporte"
"VIAJES Y TURISMO CAMPANARIO, C.A.";"";"Tel: (58) (243) 2336931";"Av. Las Delicias Maracay, Venezuela";"Medios De Transporte"
"MUDANZAS CANARIAS EXPRESS C.A";"";"Tel: (58) (212) 5774293";"Callao A Petion San Agustin Caracas, Venezuela";"Medios De Transporte"
"TRIPS VIAJES Y TURISMO, C.A";"";"Tel: (58) (261) 7984857";"Calle 72 Centro Comerical Cloromira Local 21 Bella Vista Maracaibo, Venezuela";"Medios De Transporte"
"ADRIAN TOURS, C.A.";"";"Tel: (58) (212) 2425183";"Calle 1, Terrazas del Avila Caracas, Venezuela";"Medios De Transporte"
"MASTER SERVICE 1345 C.A.";"";"Telefax: (58) (212) 2326397";"Av Principal De Boleita Entre Tercera Y Cuarta Tv Caracas, Venezuela";"Medios De Transporte"
"BOZA C.A.";"";"Tel: (58) (212) 7821576";"Av.Cumana, Edif.Yremar, Las Palmas Caracas, Venezuela";"Medios De Transporte"
"GERENCIA NAVIERA BAEK & RIGAUD C.A";"";"Tel: (58) (212) 9820132";"Cl Valdez Caracas, Venezuela";"Medios De Transporte"
"TRANSCEROCA";"";"Tel: (58) (212) 2860302";"Los Palos Grandes Caracas, Venezuela";"Medios De Transporte"
"GRUAS AMPARO";"";"Tel: (58) (261) 7512639";"Amparo-Maracaibo Maracaibo, Venezuela";"Medios De Transporte"
"AEROEJECUTIVOS";"";"Tel: (58) (212) 7931041";"Urb.Los Caobos, Av.Lima, Torre Phelps, P.8. Ofs.B y D. Plaza Venezuela Caracas, Venezuela";"Medios De Transporte"
"ESTACIONAMIENTOS Y GRÚAS SUCRE";"";"Tel: (58) (274) 2213910";"Cl. Ayacucho Ejido, Venezuela";"Medios De Transporte"
"TRANSPORTE TRANS-MARA, C.A.";"";"Tel: (58) (265) 6311596";"Calle Vargas Ciudad Ojeda, Venezuela";"Medios De Transporte"
"AIRPORT SHUTTLE RDN 3510 CA";"";"Tel: (58) (212) 3551818";"Maiquetia -Litoral Caracas, Venezuela";"Medios De Transporte"
"ENTREGAS RS, C.A.";"";"Telefax: (58) (212) 6767778";"Av. San Agustin Del Norte Esquina De Bolivar Y Vargas Local 10-01 Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE PACHECHO";"";"Tel: (58) (212) 8708771";"Av.2 Catia Caracas, Venezuela";"Medios De Transporte"
"TRANSPORTE EL SAMAN";"";"Tel: (58) (276) 3461971";"Calle 1, Juan Maldonado San Cristóbal, Venezuela";"Medios De Transporte"
"INVERSIONES ME HIJOS, S.R.I.";"";"Tel: (58) (244) 3225834";"Zona Ind La Mora II La Victoria, Venezuela";"Medios De Transporte"
"DISTRIBUIDORA DE COMBUSTIBLES GARACHICO";"";"Tel: (58) (212) 6149134";"Cr. Km 1, La Yaguara Caracas, Venezuela";"Medios De Transporte"
"COOPERATIVA MIXTA DE TRANSPORTE COOTRANASUR";"";"Tel: (58) (276) 7714310";"Carrera 3 San Antonio del Táchira, Venezuela";"Medios De Transporte"
"TRANSPORTES CADENA";"";"Tel: (58) (241) 4220046";"Prebo Valencia, Venezuela";"Medios De Transporte"
"THE SOLO AVIATION SISTEMS, C.A.";"";"Tel: (58) (239) 2240255";"Arpto Metropolitano, Ocumare Del Tuy Ocumare del Tuy, Venezuela";"Medios De Transporte"
"ABC TOURS, C.A.";"";"Tel: (58) (212) 7817022";"Av. Andrés Bello, Los Caobos Caracas, Venezuela";"Medios De Transporte"
"CIRCULO DE VIAJES VENEZUELA, C.A.";"";"Tel: (58) (276) 3434219";"Av. Libertador San Cristóbal, Venezuela";"Medios De Transporte"
"AGENCIA DE VIAJES MINAIRE";"";"Tel: (58) (212) 3729127";"Ct Panamericana Caracas, Venezuela";"Medios De Transporte"
"URBI VIAJES, C.A.";"";"Tel: (58) (212) 2410101";"Caracas Caracas, Venezuela";"Medios De Transporte"
"TRANSFERCA";"";"Tel: (58) (241) 8942727";"Av. Cadafe, La Honda Tocuyito, Venezuela";"Medios De Transporte"
"AEROEXPRESOS MARACAY, C.A.";"";"Tel: (58) (243) 2322977";"Av. Bolivar Este, La Barraca Maracay, Venezuela";"Medios De Transporte"
"MORRIS TRAVEL, C.A.";"";"Telefax: (58) (241) 8424257";"Centro Tarbes No. 138, Ofic. 7-2 Urb. San Jose De Tarbes Valencia, Venezuela";"Medios De Transporte"
"TT AIR CHARTER, C.A.";"";"Tel: (58) (212) 9930392";"Av Orinoco, Las Mercedes, Caracas Caracas, Venezuela";"Medios De Transporte"
"WWW.VENEZUELATUYA.COM";"";"Tel: (58) (212) 9599133";"C.C.C.T., Torre D Caracas, Venezuela";"Medios De Transporte"
