"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"ELEVADORES SIMA, C.A.";"";"Tel: (58) (212) 2341149";"Cl Maracay, El Marqués Caracas, Venezuela";"Ingenieria"
"ASCENSORES REPMAN, C.A.";"";"Telefax: (58) (212) 4848834";"Av Oeste 14, Esq. De Puente Junín A Bucare, Res. Venezuela, Local 1 Caracas, Venezuela";"Ingenieria"
"OTIS";"";"Tel: (58) (212) 7940644";"Edif. Polar, Torre Oeste, Piso 16 Plaza Venezuela Caracas, Venezuela";"Ingenieria"
"CAJAS FUERTES DETROIT";"";"Tel: (58) (212) 6326664";"Av. Victoria Cruce Con Cl. Chile, Edif. Rocas, P.B. Caracas 1040 Caracas, Venezuela";"Ingenieria"
"ASCENSORES SCHINDLER DE VENEZUELA, S.A.";"";"Tel: (58) (212) 7623422";"Mantenimiento y Emergencias Caracas, Venezuela";"Ingenieria"
"TECNIVER 2020 C.A.";"";"Tel: (58) (212) 2420351";"Centro Profesional La Urbina, Piso 8, Oficina No. 8-G Caracas, Venezuela";"Ingenieria"
"ASCENSORES SERVI A.L., C.A.";"";"Telefax: (58) (212) 3780552";"Caracas Caracas, Venezuela";"Ingenieria"
"POLIDIGI, C.A.";"";"Tel: (58) (212) 8084532";"Zona Industrial De Palo Verde, 2 Cl Caracas, Venezuela";"Ingenieria"
"CORPORACIÓN KONKRETO";"";"Tel: (58) (212) 3452729";"Caracas Caracas, Venezuela";"Ingenieria"
"DISTRASCENSORES C.A.";"";"Tel: (58) (241) 8324056";"Av Ernesto Branger, Zona Ind. Sur, C.E.I. Arturo Michelena, Galpón G-10 Valencia, Venezuela";"Ingenieria"
"ATS ASCENSORES TECNOLOGÍA Y SERVICIOS";"";"Tel: (58) (212) 3837423";"Av Ppal. Colinas De Carrizal, Urb. Montaña Alta, C.M.D. Los Altos, P.B. Loc. 12 Caracas, Venezuela";"Ingenieria"
"LOGIC ELEVADORES C.A. SIGMA ELEVATOR COMPANY";"";"Tel: (58) (212) 2715124";"Urb. Buena Vista, 1ra. Av Edif. Befca Caracas, Venezuela";"Ingenieria"
"SÁNCHEZ & ASOCIADOS C.A.";"";"Telefax: (58) (212) 2663501";"Chacao Caracas, Venezuela";"Ingenieria"
"TRANSMOFUERZA C.A.";"";"Telefax: (58) (212) 2577445";"Cl. Los Caciques, Edif. 301 Transmofuerza, Zona Ind. El Llanito, Caracas Caracas, Venezuela";"Ingenieria"
"ASCENSORES S. K. C.A.";"";"Tel: (58) (212) 8326740";"Av Intercomunal Del Valle, Cl Bruzual, No. 4 Caracas, Venezuela";"Ingenieria"
"SOTEINCA";"";"Tel: (58) (286) 9512069";"Unare II Ciudad Guayana Puerto Ordaz, Venezuela";"Ingenieria"
"MANROCA. S.A.";"";"Tel: (58) (241) 8345103";"Zona Ind Carabobo, Prolongación Av Michelena, C.C. Ara, Nave B Local 87-A-341, Valencia, Edo. Carabobo, Venezuela Valencia, Venezuela";"Ingenieria"
"ESMERCA C.A.";"";"Tel: (58) (212) 2355235";"Av. Francisco de Miranda,Centro Empresarial Miranda,Mezz,Ofic 11,Los Ruic es Caracas, Venezuela";"Ingenieria"
"ASCENSORE VERTICAL, C.A.";"";"Tel: (58) (212) 6901932";"Av Zuloaga, Los Rosales Caracas, Venezuela";"Ingenieria"
"ASCENSORES TEDICA";"";"Tel: (58) (261) 7411511";"AV 10 ENTRE CALLE 59 Y 60 CC EL GRAN RUBY LOCAL 24 Maracaibo, Venezuela";"Ingenieria"
"SERVICIOS MALLEN, C.A.";"";"Tel: (58) (212) 6326287";"Av América Las Acacias Caracas, Venezuela";"Ingenieria"
"SERVICIOS FORVARA, C.A.";"";"Telefax: (58) (212) 6622977";"Caracas Caracas, Venezuela";"Ingenieria"
"PLASTISEÑALES C.A.";"";"Telefax: (58) (212) 2382959";"1era. Av. De Montecristo, Entre 4ta Y 5ta Transversales Qta. Coromotana, No. 30, Urb, Montecristo Caracas, Venezuela";"Ingenieria"
"ASCENSORES LAVINO, C.A.";"";"Tel: (58) (212) 7302471";"Cl Negrín, Edif. Gloria, Nivel Sótano, La Florida Caracas, Venezuela";"Ingenieria"
"REPASCEN, C.A.";"";"Tel: (58) (212) 2838724";"Fco De Miranda, Los Palos Grandes Caracas, Venezuela";"Ingenieria"
"PLASTIGRABADOS C.A.";"";"Telefax: (58) (212) 2371042";"Av. B, Edif. París, Sótano Local 2, La Carlota Caracas, Venezuela";"Ingenieria"
"UNION SAFE S.R.L";"";"Tel: (58) (212) 7623645";"Av Venezuela Bello Monte Frente Autop Fco Fajardo Caracas, Venezuela";"Ingenieria"
"MOVIMIENTO VERTICAL MOVIVERT";"";"Tel: (58) (212) 2399786";"1era Av Montecristo Entre 4ta. Y 5ta. Transv Qta. Coromotana, Loc.32 Caracas, Venezuela";"Ingenieria"
"LA CASA DEL CERRAJERO C.A";"";"Tel: (58) (212) 7930083";"Av Ppal De Maripérez Qta. La Casa Del Cerrajero Caracas, Venezuela";"Ingenieria"
"CORPORACION MAPACO C.A.";"";"Tel: (58) (212) 2632333";"Campo Alegre Caracas, Venezuela";"Ingenieria"
"FUJITEC VENEZUELA, C.A.";"";"Tel: (58) (261) 7971898";"Calle 74, Entre Avs. 14 Y 15, N 14A-23 Sector Tierra Negra, Maracaibo, Edo. Zulia Maracaibo, Venezuela";"Ingenieria"
"ATS-KONE";"";"Tel: (58) (212) 2752020";"Av Ppal. Carrizal Caracas, Venezuela";"Ingenieria"
"METALURGICA NACIONAL, C.A.";"";"Tel: (58) (251) 4411959";"Carrera 1, N³3b-150 , Zona Industrial II Barquisimeto, Venezuela";"Ingenieria"
"MAVULCA REMA TIP TOP S.A.";"";"Tel: (58) (212) 2410198";"Cl 8 Edif Lance P.B. La Urbina, Caracas Caracas, Venezuela";"Ingenieria"
"COMINCA CONEXIONES Y MANGUERAS INDUSTRIALES C.A.";"";"Tel: (58) (281) 2774360";"Av. Intercomunal Andres Bello ( A 50 Mts. De La Pasarela De Boyaca) Barcelona, Venezuela";"Ingenieria"
"TECNOLOGÍA VERTICAL C.A.";"";"Tel: (58) (212) 6144187";"Av Alma Mater, Quinta Anita, Ofic. 3 Los Chaguaramos Caracas, Venezuela";"Ingenieria"
"TORNOVEN, C.A.";"";"Tel: (58) (212) 4162635";"Boleíta Sur Caracas, Venezuela";"Ingenieria"
"PROMEFORM S.R.L.";"";"Tel: (58) (212) 6938637";"Av. El Parque, No. 4. Plaza Tiuna, Los Rosales Caracas, Venezuela";"Ingenieria"
"INDUSTRIAS JOSGAR SIR C.A.";"";"Tel: (58) (212) 8629669";"Cl. El Molino, No. 37, Los Flores De Catia Caracas, Venezuela";"Ingenieria"
"THYSSEN KRUPP ELEVADORES";"";"Tel: (58) (251) 2525987";"Barquisimeto Barquisimeto, Venezuela";"Ingenieria"
"ELEVASERVICIOS, S.R.L.";"";"Tel: (58) (212) 9534755";"Cl Baruta, Edif. Techo, Ofic. 7-A, Sabana Grande Caracas, Venezuela";"Ingenieria"
"ELEVADORES LANTOR DE VENEZUELA C.A.";"";"Tel: (58) (212) 2389013";"Cl G, Qta. Pe-Mar, Local 1-A, La Carlota Caracas, Venezuela";"Ingenieria"
"PROASIA";"";"Tel: (58) (212) 2321059";"Av Fco. De Miranda, Centro Empresarial Miranda, Mez. Ofic. No. 11, Urb. Los Ruices Caracas, Venezuela";"Ingenieria"
"C.A. VENEZOLANA DE ASCENSORES CAVENAS";"";"Tel: (58) (261) 7973961";"Maracaibo Maracaibo, Venezuela";"Ingenieria"
"ASCENSORES FALCONI DE VENEZUELA, C.A.";"";"Tel: (58) (212) 2414309";"Cl 5 Con Cl 9, Edif. Génova, Local 1, P.B., La Urbina Caracas, Venezuela";"Ingenieria"
"GUMIS C.A.";"";"Tel: (58) (286) 9235275";"Av. Paseo Caroni, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Ingenieria"
"SK C.A";"";"Tel: (58) (212) 8329733";"Av. José Angel Lamas San Martín Caracas, Venezuela";"Ingenieria"
"METALMECÁNICA RODESA C.A";"";"Tel: (58) (212) 2714242";"La California Norte Caracas, Venezuela";"Ingenieria"
"EUROLIF DE VENEZUELA, C.A.";"";"Tel: (58) (251) 2372712";"Zona Industrial I, Carrera 05, entre calles 17 y 18 Barquisimeto, Venezuela";"Ingenieria"
"SERVICIOS Y MANTENIMIENTO GARCÍA CG, C.A.";"";"Tel: (58) (212) 2512145";"Centro Comercial Palo Verde Ppal. Palo Verde Caracas, Venezuela";"Ingenieria"
"RESPUESTOS INDUSTRIALES LA PUERTA, C.A.";"";"Tel: (58) (246) 4315943";"Av. Costa Carles San Juan de Los Morros, Venezuela";"Ingenieria"
"ELEVADORES TECNI-LEDS, S.R.L.";"";"Tel: (58) (212) 5650993";"Av Urdaneta, Edif. Iberia Piso 11-F, La Candelaria Caracas, Venezuela";"Ingenieria"
"CERRAJERÍA LAS MERCEDES";"";"Tel: (58) (212) 9933625";"Cl Monterrey Con Cl Madrid Las Mercedes Caracas, Venezuela";"Ingenieria"
"GLOBALINST P&D, C.A.";"";"Tel: (58) (212) 6145152";"Av Fco. De Miranda Con Av Elice, Chacao Caracas, Venezuela";"Ingenieria"
"GAYAL,C.A.";"";"Tel: (58) (243) 8239910";"Av Bolivar Norte Centro Comercial Sacia PB Loc-21,Valencia,Carabobo Maracay, Venezuela";"Ingenieria"
"ELEVADORES RELETRÓN, C.A.";"";"Telefax: (58) (212) 5376341";"Av Francisco De Miranda, C.C. Puerta Del Este, Local 20, La California Norte Caracas, Venezuela";"Ingenieria"
"ASCENSORES CARICUAO, S.R.L.";"";"Telefax: (58) (212) 4327834";"Caracas Caracas, Venezuela";"Ingenieria"
"INDUSTRIAS SOFIMAR";"";"Tel: (58) (276) 7873125";"Calle 12 Bis, Aguas Calientes Ureña, Venezuela";"Ingenieria"
"ASCENSORES SICEM";"";"Telefax: (58) (212) 6330255";"Av Chile c/c Escorial, Edif. Vandisel, P.B., Las Acacias Caracas, Venezuela";"Ingenieria"
"OMA C.A.";"";"Tel: (58) (281) 2862163";"Sc Las Garzas, Calle 4 Lecherías, Venezuela";"Ingenieria"
"MODERNIZACIONES TAIKO, C.A.";"";"Tel: (58) (212) 2398717";"1era. Transversal De Montecristo, Qta. No. 47-A Caracas, Venezuela";"Ingenieria"
"ASCENSORES A.S.G. C.A.";"";"Tel: (58) (212) 8335355";"Cl Real De Sarria Entre Manguito Y Coromoto No. 48, La Candelaria Caracas, Venezuela";"Ingenieria"
"CORPORACIÓN EDEZCA C.A";"";"Tel: (58) (212) 2668534";"Fco. De Miranda Chacao Caracas, Venezuela";"Ingenieros Industriales"
"D L INVERSIONES C.A";"";"Tel: (58) (246) 4318181";"Av. Los LLanos San Juan de Los Morros, Venezuela";"Ingenieros Industriales"
"VERIACA";"";"Tel: (58) (261) 7232678";"Av Milagro Qta Nefertiti, Pa Maracaibo Maracaibo, Venezuela";"Inspecciones Para Importación Y Exportación"
"MECOIN S.A.";"";"Tel: (58) (243) 5516470";"Maracay Maracay, Venezuela";"Instrumentos De Control"
"OTECNAGUA, C.A.";"";"Tel: (58) (281) 6936718";"Av minerva Las Acacias Lecherías, Venezuela";"Investigaciones"
"LABORATORIO CLINICO BIOINTEGRAL COAGULAB";"";"Tel: (58) (281) 2674352";"P.B., Puerto La Cruz Puerto de  la Cruz, Venezuela";"Investigaciones"
"BROLAB";"";"Tel: (58) (212) 7631940";"Edif. Jose Jesus, Piso 5 3era. Av. L Delicia, Sab Gde Caracas, Venezuela";"Investigaciones"
"COSMETICOS ALIMENTOS Y MEDICAMENTOS CAM C.A";"";"Tel: (58) (212) 7539349";"Prolongacion Av Chema Colinas De Bello Monte Caracas, Venezuela";"Investigaciones"
"COMPAIR KILLINGER ASESORIA TÉCNICA C.A";"";"Tel: (58) (212) 9765397";"Av Río Paragua Prados Del Este Caracas, Venezuela";"Inyectoras -Sopladoras De Botellas"
"EL BOTON DE ORO";"";"Tel: (58) (212) 5649520";"Catedral Caracas, Venezuela";"Juguetería"
"COMERCIAL TRIPLE H C.A";"";"Tel: (58) (212) 5648382";"Marrón A Dr. Paul No 6 Caracas Caracas, Venezuela";"Juguetería"
"SAMBO'S TOY STORE";"";"Tel: (58) (212) 2652265";"Centro San Ignacio Nivel Jardin Local J-25 Caracas, Venezuela";"Juguetería"
"MATTEL DE VENEZUELA C.A";"";"Tel: (58) (212) 2561922";"Av. Mara C.C Maracuay Plaza Torre B Piso 8 Colinas De La California Caracas, Venezuela";"Juguetería"
"CASA VALENCIA C.A";"";"Tel: (58) (212) 5646221";"Esq. Madrices A San Jacinto Catedral Caracas, Venezuela";"Juguetería"
"DESARROLLOS KIKIRIKI C.A";"";"Tel: (58) (212) 2484968";"Zona Ind Alvarenga Av. Tricentenaria A 10 Mts De Los Bomberos Charallave Edo Miranda Caracas, Venezuela";"Juguetería"
"ALMACEN LA PRINCESA";"";"Tel: (58) (212) 5636938";"Esq. Dr. Paul Catedral Caracas, Venezuela";"Juguetería"
"PROMOCIONES SERPIS 698 C.A";"";"Tel: (58) (212) 4711251";"El Algodonal Caracas, Venezuela";"Juguetería"
"FJ MOSER EXPORTACIONES C.A";"";"Tel: (58) (212) 6617721";"Santa Monica Caracas, Venezuela";"Juguetería"
"CRISTAL PARTY, C.A";"";"Tel: (58) (212) 9923252";"Caracas Caracas, Venezuela";"Juguetería"
"TOY PLANET";"";"Tel: (58) (212) 3728291";"Km 14 Carret Panamericana Piso 2 C.C Galeria Las Americas San Antonio Caracas, Venezuela";"Juguetería"
"MAGÙCO";"";"Tel: (58) (285) 2820014";"Av. AmÉrico Vespucio C.C. Caribbean Mall, Local C2-334 Ciudad Bolivar, Venezuela";"Juguetería"
"MAGIC TOYS, C.A";"";"Tel: (58) (286) 9623244";"Ccc Alta Vista-Altos Coffe Center Piso 2 Local 122 Ciudad Guayana Puerto Ordaz, Venezuela";"Juguetería"
"DISTRIBUIDORA MELUCHA C.A";"";"Tel: (58) (212) 3412585";"Parque Industrial Guatire B Galpon G - 17 El Marques Guatire Edo Miranda Caracas, Venezuela";"Juguetería"
"JUGUETERIA PEDADOGICA";"";"Tel: (58) (261) 7416934";"Santa Rita Maracaibo, Venezuela";"Juguetería"
"DEPORTES Y JUGUETERÍA BAMBI, C.A.";"";"Tel: (58) (293) 4324448";"Av. Bermúdez Cumaná, Venezuela";"Juguetería"
"PLASTILEG, C.A.";"";"Tel: (58) (212) 2128336";"Cl. Emma Soler, Zona Ind. Marín Caracas, Venezuela";"Juguetería"
"TITERES KASPER S.R.L";"";"Tel: (58) (212) 2416308";"Cl. 7 La Urbina Caracas, Venezuela";"Juguetería"
"OSITOS TOYS";"";"Tel: (58) (212) 5528664";"San Bernandino Caracas, Venezuela";"Juguetería"
"JUGUETELANDIA";"";"Tel: (58) (212) 9515031";"Av. Francisco De Miranda Edif. Juguetelandia Al Lado De La Torre Europa Caracas, Venezuela";"Juguetería"
"INVERSIONES - HILEL C.A";"";"Telefax: (58) (212) 5412413";"Av. Universidad Charro A Coliseo Edif. Zulia Local A Caracas, Venezuela";"Juguetería"
"JUEGUE MAX C.A";"";"Tel: (58) (241) 8215809";"Av. 104 El Viñedo Valencia, Venezuela";"Juguetería"
"GRUPO HOBBY AND TOYS";"";"Tel: (58) (255) 6222977";"Acarigua Acarigua, Venezuela";"Juguetería"
"AUTO NIPPON USA, C.A.";"";"Tel: (58) (212) 9434566";"Cl Orinoco Piedra Azul, Caracas Caracas, Venezuela";"Latonerías"
"TALLERES PANAMERICANO, C.A.";"";"Tel: (58) (212) 3322672";"Av Ppal De Montesano, Maiquetía Caracas, Venezuela";"Latonerías"
"TECNO SERVICIOS YES CARD, C.A.";"";"Tel: (58) (212) 3529330";"Av Ppal De Week-End Catia La Mar, Maiquetía Caracas, Venezuela";"Latonerías"
"TALLERES ROCAUTO, C.A.";"";"Tel: (58) (212) 2375138";"Final Av Las Palmas Boleíta Sur, Caracas Caracas, Venezuela";"Latonerías"
"VIMOCA CENTRO AUTOMOTRÍZ, C.A.";"";"Tel: (58) (212) 6930202";"Los Chaguaramos, Caracas Caracas, Venezuela";"Latonerías"
"MULTISERVICIOS SUPER AUTO, C.A.";"";"Tel: (58) (243) 2471550";"Cl. Boyacá N³ 87 Centro Maracay, Venezuela";"Latonerías"
"MULTISERVICIOS ALASKA E.W., C.A.";"";"Tel: (58) (212) 4727878";"Cl 1 Con Calle 2, Vista Alegre, Caracas Caracas, Venezuela";"Latonerías"
"TALLERES VICTORIA, C.A.";"";"Telefax: (58) (212) 6314086";"Av. La Floresta, El Cementerio Caracas, Venezuela";"Latonerías"
"AUTO SERVICIOS RC, C.A.";"";"Tel: (58) (243) 2328718";"Av. Principal, San Agustín Maracay, Venezuela";"Latonerías"
"TALLER AUTOMOTRÍZ ONE FOR ONE, C.A.";"";"Tel: (58) (212) 3954085";"Av Francisco R García, Centro, Guarenas Guarenas, Venezuela";"Latonerías"
"INSTALACIONES INDUSTRIALES VERACRUZ, C.A";"";"Tel: (58) (212) 6324035";"Cl Felipe Esteves, Prado De Maria Caracas, Venezuela";"Latonerías"
"TALLERES DE MI CONFIANZA CEDA, C.A.";"";"Tel: (58) (212) 2662777";"Av Ppal, Bello Campo, Caracas Caracas, Venezuela";"Latonerías"
"MULTISERVICIOS LOS ANDES, C.A.";"";"Tel: (58) (274) 2667166";"Zona Ind Don Bosco Mérida, Venezuela";"Latonerías"
"MULTISERVICIOS LOS CHASIS, C.A.";"";"Tel: (58) (274) 2662998";"Av. Los Proceres, Local N³62-13, Zona Industrial Mérida, Venezuela";"Latonerías"
"TECNIMOTRIZ JM CA";"";"Tel: (58) (241) 8359160";"Av. L Alvarado Valencia, Venezuela";"Latonerías"
"TALLERES AUTOCAM, C.A.";"";"Tel: (58) (244) 3215287";"Av Fco De Miranda Cl Ciega La Fortaleza La Victoria, Venezuela";"Latonerías"
"MECÁNICA MEZA LATONERÍA Y PINTURA";"";"Tel: (58) (212) 7932109";"Av Ppal De Maripérez, Caracas Caracas, Venezuela";"Latonerías"
"MOTOR CARE CENTER";"";"Tel: (58) (212) 6334680";"Av Presidente Medina Edif Segucar, Las Acacias, Caracas Caracas, Venezuela";"Latonerías"
"AUTOMOTRÍZ ANTOJANE, C.A.";"";"Tel: (58) (212) 3622069";"Cl 19 De Abril, Guarenas Guarenas, Venezuela";"Latonerías"
"LATONERIA INDUSTRIAL LUIGI, C.A";"";"Tel: (58) (212) 6315511";"Cl Las Luces El Cementerio Caracas, Venezuela";"Latonerías"
"CENTRO AUTOMOTRIZ TELEFERICO, S.R.L.";"";"Tel: (58) (212) 7814501";"6ta. Transversal Maripérez Estacionamiento Caribe, Loc 1, Caracas Caracas, Venezuela";"Latonerías"
"NEW CAR TALLER DE LATONERÍA Y PINTURA, C.A.";"";"Tel: (58) (241) 8328064";"4ta transversal, Zona Ind Carabobo Valencia, Venezuela";"Latonerías"
"TALLERES Y ESCAPES J.N.C.A.";"";"Tel: (58) (241) 8430185";"Av Salvador Feo La Cruz Valencia, Venezuela";"Latonerías"
"AUTO PINTURA TIBISAY, C.A.";"";"Tel: (58) (212) 4223176";"Ct Junquito Km 8, El Junquito Caracas, Venezuela";"Latonerías"
"AUTOMECÁNICA GINO TORINO";"";"Tel: (58) (212) 4720470";"Cl Real, Bella Vista, Caracas Caracas, Venezuela";"Latonerías"
"BODY SHOP BUENA VISTA, C.A.";"";"Tel: (58) (212) 2717286";"Av Fco De Miranda, Buena Vista, Caracas Caracas, Venezuela";"Latonerías"
"INVERSIONES DUCTOARTE, C.A";"";"Tel: (58) (212) 6314689";"Cl La Salella Prado De Maria Caracas, Venezuela";"Latonerías"
"AUTO SERVICIOS MARTÍNEZ, C.A.";"";"Tel: (58) (261) 7538566";"Av.80 Nro.77-67 La Limpia Maracaibo, Venezuela";"Latonerías"
"MULTISERVICIOS BUENAVISTA, C.A.";"";"Tel: (58) (261) 7654165";"Los Haticos-Maracaibo Maracaibo, Venezuela";"Latonerías"
"SANTY MOTOR'S SERVICE, S.R.I.";"";"Telefax: (58) (251) 4461979";"Entre Carrera 25 Y Av. Venezuela Calle 40 Barquisimeto, Venezuela";"Latonerías"
"TALLERES AUTO CARROCERÍA MERCARS, S.A.";"";"Tel: (58) (212) 2635070";"Altamira Sur, Caracas Caracas, Venezuela";"Latonerías"
"INVERSIONES ARMONY'S, C.A.";"";"Tel: (58) (251) 2690891";"Av. Carlos Giffone/Zona Ind II Barquisimeto, Venezuela";"Latonerías"
"CENPIAUTO, C.A.";"";"Tel: (58) (212) 9853691";"Av La Guairita, El Cafetal, Caracas Caracas, Venezuela";"Latonerías"
"TALLER SPOST CAR, C.A.";"";"Tel: (58) (241) 8672850";"Av. Universidad Naguanagua, Venezuela";"Latonerías"
"INVERSIONES CAR 2098, C.A.";"";"Tel: (58) (212) 7822846";"Av Principal Maripérez, Caracas Caracas, Venezuela";"Latonerías"
"PINTU CARS 45 SERVICIOS AUTOMOTRICES, C.A.";"";"Tel: (58) (212) 2375409";"Urb. Boleíta Norte, Caracas Caracas, Venezuela";"Latonerías"
"CENTRO MOTRIZ CASTILLO, S.R.L.";"";"Tel: (58) (212) 5776095";"Av Ppal. Vuelta El Casquillo, San Agustín, Caracas Caracas, Venezuela";"Latonerías"
"AUTOTECNICA DEL AUTOMOVIL FF, C.A.";"";"Tel: (58) (241) 8312875";"Z Ind La Guacamaya Valencia, Venezuela";"Latonerías"
"AUTOMOTRIZ LEYDA, C.A.";"";"Tel: (58) (243) 5532983";"Constitución Maracay, Venezuela";"Latonerías"
"AUTOMOTRIZ CGA 2003, C.A.";"";"Tel: (58) (212) 2580866";"El Llanito, Caracas Caracas, Venezuela";"Latonerías"
"ACRÍLICOS BARUTA, C.A.";"";"Tel: (58) (212) 9451934";"Av Páez, Baruta Edif Julimar P.B. No. 51, Caracas Caracas, Venezuela";"Latonerías"
"CENTRO AUTOMOTRIZ 3000, C.A.";"";"Tel: (58) (212) 9440956";"Baruta, Caracas Caracas, Venezuela";"Latonerías"
"BHC AUTOMOTRÍZ, C.A.";"";"Tel: (58) (265) 6413778";"Av 44, Ciudad Ojeda Ciudad Ojeda, Venezuela";"Latonerías"
"TALLER JARDÍN DE VENEZUELA, S.R.L.";"";"Tel: (58) (212) 3233221";"La Mata, Los Teques Los Teques, Venezuela";"Latonerías"
"TALLERES AUTOCOLOR, C.A.";"";"Tel: (58) (276) 3476822";"Carrera 12 N³7-31 La Concordia San Cristóbal, Venezuela";"Latonerías"
"LATONERIA INDUSTRIAL HERMANOS VILLANUEVA, C.A";"";"Tel: (58) (212) 9852192";"Subida Alto Hatillo, Parcela No 32-A Al Lado De Dimeca El Cafetal Caracas, Venezuela";"Latonerías"
"RUÍZ MOTORS, C.A.";"";"Tel: (58) (276) 3418963";"Carrera 1, Calle 9, Nro.8-69 La Ermita San Cristóbal, Venezuela";"Latonerías"
"CIENTÍFICA MOTORS, C.A.";"";"Tel: (58) (212) 9792333";"Z Ind l Naya, Las Minas, Caracas Caracas, Venezuela";"Latonerías"
"AUTO TALLER GRAN SASSO, S.R.L";"";"Telefax: (58) (241) 8313190";"La Candelaria Valencia, Venezuela";"Latonerías"
"CENTERVU";"";"Tel: (58) (212) 5373348";"av 1 De Altamira Sur, Altamira, Caracas Caracas, Venezuela";"Latonerías"
"LATON EXPRESS, C.A.";"";"Tel: (58) (276) 3424537";"Cl.16, Puente Real San Cristóbal, Venezuela";"Latonerías"
"TALLER FERGOM, C.A.";"";"Tel: (58) (261) 7496040";"Calle 60b, N³15b-38 Las Tarabas Maracaibo, Venezuela";"Latonerías"
"SERVICIO AUTOMOTRÍZ LOS NUEVOS TEQUES, C.A.";"";"Tel: (58) (212) 3212650";"Los Nuevos Teques, Los Teques Los Teques, Venezuela";"Latonerías"
"COMPAC CARS 2001";"";"Tel: (58) (276) 3465670";"Calle 6 con Carrera 8 La Concordia San Cristóbal, Venezuela";"Latonerías"
"MULTISERVIOS NENO CAR©S, C.A.";"";"Tel: (58) (241) 8670379";"Final Av. Universidad, Galón 211-50, A 30 Mts. De La Facultad De Ingener ia, Naguanagua Naguanagua, Venezuela";"Latonerías"
"MULTI AUTO VALENCIA, C.A.";"";"Tel: (58) (241) 8359672";"Calle Peña, La Candelaria Valencia, Venezuela";"Latonerías"
"PINTORCA";"";"Tel: (58) (261) 7831830";"Av.16A Entre Calles 89 y 89 B Las Delicias Maracaibo, Venezuela";"Latonerías"
"AUTO TALLER ANZOATEGUI, C.A.";"";"Tel: (58) (241) 8581258";"San José Valencia, Venezuela";"Latonerías"
"MUTISERVICIOS EURO AMERICAN TRUCKS";"";"Telefax: (58) (251) 2371070";"Calle 26, Entre Carreras 1 Y 2, Zona Ind, No. 1 Barquisimeto, Venezuela";"Latonerías"
"TALLERES VIESTEVEZ, S.R.L.";"";"Tel: (58) (212) 3233114";"Av C Dominguez Unidad Und. Los Teques Los Teques, Venezuela";"Latonerías"
"TALLERES GONDOMAR, C.A.";"";"Tel: (58) (212) 2717024";"Final 1era. Av Buena Vista, Caracas Caracas, Venezuela";"Latonerías"
"TALLER NEGRA MATEA LATONERÍA Y PINTURA";"";"Tel: (58) (212) 4847446";"Cl Soledad A Florida, San Martín, Caracas Caracas, Venezuela";"Latonerías"
"AUTO CENTRO RECORD C.A.";"";"Tel: (58) (251) 4471955";"Av. Venezuela Entre Calles 48 Y 49 Barquisimeto, Venezuela";"Latonerías"
"AUTO CLUB CA";"";"Tel: (58) (251) 2322579";"Calle 27 Barquisimeto, Venezuela";"Latonerías"
"MOLINA LAZO LUILLA";"";"Tel: (58) (212) 7933953";"Caracas Caracas, Venezuela";"Lazos"
"VILLA''SS";"";"Tel: (58) (212) 2655714";"Pto La Cruz Caracas, Venezuela";"Lentes"
"UNIVERSAL DE UNIFORMES";"";"Tel: (58) (244) 4177279";"Av. San Juan Cruce Con Calle Cajigal Cagua, Venezuela";"Lentes"
"SERVICIOS DE INGENIERIA VENINSERVI C.A";"";"Tel: (58) (212) 8625729";"Caracas Caracas, Venezuela";"Limpieza Industrial"
"HOLISTICO MANTENIMIENTO C.A";"";"Tel: (58) (212) 3627156";"Caracas Caracas, Venezuela";"Limpieza Industrial"
"CLEAN, C.A.";"";"Tel: (58) (286) 9225766";"C.C. Taguapire, P.B., Loc.8 Av Ciudad BolÙvar Ciudad Guayana Puerto Ordaz, Venezuela";"Limpieza Industrial"
"LARKIN - PRODUCTOS QUÙMICOS";"";"Tel: (58) (212) 9513882";"Cl. Guaicaipuro con Mohedano, Torre Hener Piso 3 Of. 3A Loc.2 El Rosal Ca racas Caracas, Venezuela";"Limpieza Industrial"
"MANCHEMSA MANTENIMIENTO QUÙMICO C.A.";"";"Tel: (58) (212) 2569107";"Caracas Caracas, Venezuela";"Limpieza Industrial"
"LIMPIEZA SERLIMAG";"";"Tel: (58) (212) 2387042";"Av Fco De Miranda Ctro Emp Don Bosco Piso 12.Ofic DLos Cortijos Caracas Caracas, Venezuela";"Limpieza Industrial"
"LIMPIA MANIA";"";"Tel: (58) (251) 2675314";"Av. Los Comuneros, Multicentro Los Leones, Loc 9. Urb. el Parque Barquisimeto, Venezuela";"Limpieza Industrial"
"0ORPORACION CAST CTE, C.A";"";"Tel: (58) (212) 6627082";"Cnas De Sta Monica Caracas Caracas, Venezuela";"Limpieza Industrial"
"MULTISERVICIOS LA BARC, C.A.";"";"Tel: (58) (251) 4461017";"Cr.23 E/Cls. 50 y 51-BQTO Barquisimeto, Venezuela";"Limpieza Industrial"
"DE WITT";"";"Tel: (58) (261) 7532727";"Maracaibo Maracaibo, Venezuela";"Limpieza Industrial"
