"AUTO TALLER GRAN SASSO, S.R.L";"";"Telefax: (58) (241) 8313190";"La Candelaria Valencia, Venezuela";"Abogados - Asuntos Inmobiliarios"
"BOOTS'N BAGS";"";"Tel: (58) (212) 2632850";"Centro Sambil Chacao Caracas, Venezuela";"Maletines"
"DISTRIBUIDORA ESCIVAL, C.A.";"";"Tel: (58) (241) 8579084";"CI. Roscio, Ritec Valencia, Venezuela";"Mantenimiento De Equipo Contra Incendio"
"ECINCA C.A";"";"Tel: (58) (241) 8589708";"Av. Bolivar Valencia, Venezuela";"Mantenimiento De Equipo Contra Incendio"
"INPROFUEGO, C.A.";"";"Tel: (58) (251) 2375427";"Barquisimeto Barquisimeto, Venezuela";"Mantenimiento De Equipo Contra Incendio"
"SERIC FUEGO, C.A.";"";"Tel: (58) (293) 4334056";"Cl. Cancamure Cumaná, Venezuela";"Mantenimiento De Equipo Contra Incendio"
"TECNO FUEGO";"";"Tel: (58) (261) 7978434";"Maracaibo Maracaibo, Venezuela";"Mantenimiento De Equipo Contra Incendio"
"CONTRALARMA C.A";"";"Tel: (58) (212) 9940108";"Zona Ind Los Pinos Calle 7, Galpên 2 Caracas, Venezuela";"Mantenimiento De Equipo Contra Incendio"
"BOMBAS TÁCHIRA C.A.";"";"Tel: (58) (251) 3474330";"Av. 19 De Abril, Cto. Cial. El Parque, Torre C P.B., Locs. 11 Y 81 Barquisimeto, Venezuela";"Mantenimiento De Piscinas"
"COMERCIALIZADORA GUERRERO";"";"Tel: (58) (251) 5410870";"Av.2, Calle 1, Urb. La Paz, N³2 La Mata Barquisimeto, Venezuela";"Mantenimiento De Piscinas"
"GRUPO AGUA AZUL, C.A.";"";"Tel: (58) (291) 8242654";"Urb. San Gerardo, Av. 103 No. 123-80-2 Qta. Agua Azul, Detras Del C.C. Ca ribbean Plaza Maturín, Venezuela";"Mantenimiento De Piscinas"
"PISCINAS AQUATEC, C.A.";"";"Tel: (58) (212) 9526652";"Av Orinoco Bello Monte Caracas, Venezuela";"Mantenimiento De Piscinas"
"PISCINAS EL FARO, C.A.";"";"Tel: (58) (281) 2861074";"Calle Mariño, C.C. El Peñon Del Faro, Local E-4 Lecherías, Venezuela";"Mantenimiento De Piscinas"
"SIMPOOL, C.A.";"";"Tel: (58) (259) 8121429";"Carretera Moron-Coro al lado de Marina las Aves Tucaca Edo. Falcon Tucacas , Venezuela";"Mantenimiento De Piscinas"
"PISCINAS LATINOAMERICANAS C.A";"";"Tel: (58) (251) 9931006";"Av. Orinoco Quinta Marilú Urb. Las Mercedes Barquisimeto, Venezuela";"Mantenimiento De Piscinas"
"PISCINAS HIDROTECNICA VALENCIA, C.A:";"";"Tel: (58) (241) 8239863";"Av. Final Av Bolívar Nte., Guaparo Valencia, Venezuela";"Mantenimiento De Piscinas"
"DISTRIBUIDORA VENCLOR, C.A.";"";"Tel: (58) (212) 5637311";"Av. Urdaneta, Edif. Centro Urdaneta, Piso 12, Of. 127, La Candelaria Caracas, Venezuela";"Mantenimiento De Piscinas"
"CONTACTEC PISCINAS, C.A.";"";"Tel: (58) (241) 8253977";"4ta Av. de Prebo, Valencia Valencia, Venezuela";"Mantenimiento De Piscinas"
"PLOMERÍA ANAUCO S.R.L.";"";"Tel: (58) (212) 5511896";"San Bernardino Caracas, Venezuela";"Mantenimientos Técnicos"
"CONTREX SERVICIOS C.A.";"";"Tel: (58) (212) 4420896";"Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"MOTOREPS C.A.";"";"Tel: (58) (271) 4463658";"Av. p. Leon Torres con calle 52 Valera, Venezuela";"Mantenimientos Técnicos"
"PLOMERIA LEON RC, C.A.";"";"Tel: (58) (212) 7930602";"Cl. Zulia Maripérez, Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"ABC PLOMERIA - ELECTRICIDAD";"";"Tel: (58) (212) 6150523";"Santa Monica Caracas, Venezuela";"Mantenimientos Técnicos"
"INPROFUEGO, C.A.";"";"Tel: (58) (251) 2375427";"Barquisimeto Barquisimeto, Venezuela";"Mantenimientos Técnicos"
"ITACA INGENIEROS Y TÉCNICOS ASOCIADOS C.A.";"";"Tel: (58) (212) 2385811";"Cl. E, Edif. Spefar, Noleíta Norte, Caracas Venezuela Caracas, Venezuela";"Mantenimientos Técnicos"
"KVA GENERATOR, C.A.";"";"Tel: (58) (212) 3124526";"Av. Pedro Russo Ferrer, C.C. Vasconia, PB Local L-43 Sector El Tambor Los Teques, Edo. Miranda Caracas, Venezuela";"Mantenimientos Técnicos"
"GRUPO AUTOPARTS";"";"Tel: (58) (212) 8681887";"Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"DINAMO DISTRIBUIDORA NACIONAL DE MOTORES";"";"Tel: (58) (212) 2853811";"Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"LFD INGENIERÍA, C.A.";"";"Tel: (58) (212) 2375347";"La California Norte, Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"LARKIN - PRODUCTOS QUÙMICOS";"";"Tel: (58) (212) 9513882";"Cl. Guaicaipuro con Mohedano, Torre Hener Piso 3 Of. 3A Loc.2 El Rosal Ca racas Caracas, Venezuela";"Mantenimientos Técnicos"
"GRUPO HOBA C.A.";"";"Tel: (58) (212) 6934646";"Cl. Pedro E. Coll, Santa Mónica, Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"PLOMERIA MORENO, C.A.";"";"Tel: (58) (212) 8603053";"La Pastora, Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"SETEPECO S.A.";"";"Tel: (58) (212) 7517480";"Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"CONSORCIO COINTECA C.A.";"";"Tel: (58) (212) 9512691";"Av.Abraham Lincoln, Chacaito Caracas, Venezuela";"Mantenimientos Técnicos"
"MULTISERVICIOS Y BIENES BRUNO, C.A.";"";"Tel: (58) (212) 7540197";"Av. Motatan, Qta. Chinita, Colinas de Bello Monte, Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"SERVICIOS ALTO PRADO HJ, C.A.";"";"Tel: (58) (212) 5777076";"Caracas Caracas, Venezuela";"Mantenimientos Técnicos"
"TÉCNICA RUEDA, C.A.";"";"Tel: (58) (243) 2563908";"Principal, Maracay Maracay, Venezuela";"Mantenimientos Técnicos"
"PLOMEROS S.O.S. PLOMERÍA EN GENERAL";"";"Tel: (58) (212) 7312113";"Cl. San José, Chapellín Caracas, Venezuela";"Mantenimientos Técnicos"
"IMPEXPAR, C.A.";"";"Tel: (58) (212) 7318164";"Av. Andrés Bello, La Florida Caracas, Venezuela";"Maquinaria Para Materiales De La Construcción"
"ELEBOMCA";"";"Tel: (58) (251) 2410007";"La Urbina Barquisimeto, Venezuela";"Maquinaria Para Materiales De La Construcción"
"LOGIC ELEVADORES C.A. SIGMA ELEVATOR COMPANY";"";"Tel: (58) (212) 2715124";"Urb. Buena Vista, 1ra. Av Edif. Befca Caracas, Venezuela";"Maquinaria Para Materiales De La Construcción"
"MPO MAQUINARIAS PARA OBRAS S.A";"";"Tel: (58) (212) 4710306";"Cl 3 Con Cl 11 Edif Ron Royal Piso 1 La Yaguara (Detras De Muebles Mary) Caracas, Venezuela";"Maquinaria Para Materiales De La Construcción"
"MPC EQUIPOS Y MAQUINARIA C.A";"";"Tel: (58) (251) 2691772";"Cr 9 E/ Cl 4 Y 5 Zona Ind II, Barquisimeto Barquisimeto, Venezuela";"Maquinaria Para Materiales De La Construcción"
"MOTOREPS C.A.";"";"Tel: (58) (271) 4463658";"Av. p. Leon Torres con calle 52 Valera, Venezuela";"Maquinaria Para Materiales De La Construcción"
"EQUIPOS PICCINI DE VENEZUELA C.A";"";"Tel: (58) (212) 9913466";"Av Araure, Chuao Caracas, Venezuela";"Maquinaria Para Materiales De La Construcción"
"MAQUINARIAS CORTE C.A";"";"Tel: (58) (212) 2418196";"Cl 10 Edif Corte La Urbina, Caracas Caracas, Venezuela";"Maquinaria Para Materiales De La Construcción"
"Bedoya Puerta y Cía. Ltda.";"bedoyapuerta@hotmail.com";"Cel.: (58) 3137680820";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"TAMI, C.A.";"";"Tel: (58) (212) 2574416";"Final Av Milán Los Ruices Sur Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"DISTRIBUIDORA WILLIANS RAMÍREZ";"";"Tel: (58) (212) 9634877";"El Hatillo Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ELEBOMCA";"";"Tel: (58) (251) 2410007";"La Urbina Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"SUMINISTROS Y MAQUINARIAS CGS C.A";"";"Tel: (58) (212) 5322109";"Zona Industrial, Filas De Mariche Filas de Mariche, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ACQUA PISCINAS C.A.";"";"Tel: (58) (251) 6147161";"Av.8, Santa Rita, Calle 68, CC.Santa Barbara, Loc. 3, al lado del hotel K ristoff, Maracaibo. Edo. Zulia Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"VETOME INDUSTRIALES , C.A.";"";"Tel: (58) (212) 4466240";"Cr.24 E/Cl.39-40 - El Centro Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ANDAMIOS MARTU C.A";"";"Tel: (58) (241) 8313230";"Cl Plaza C/ Av Lizandro Alvaro Valencia, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"COALCO ESTÚDIOS HIDROLÓGICOS, C.A.";"";"Tel: (58) (212) 6935384";"Valle Abajo, Caracas Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"MINAO MODULAR INVERSIONES CA";"";"Telefax: (58) (212) 8603502";"Av.Francisco Miranda,Chacao Piso 8-81 - Caracas Venezuela Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ENTEC, C.A.";"";"Tel: (58) (243) 2328640";"Cl 9 La Soledad Maracay, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"CASE";"";"Tel: (58) (212) 3218123";"Los Teques Los Teques, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"HIDRO DENVER,C.A.";"";"Tel: (58) (243) 2350614";"El Piñonal,No 232 Maracay, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"MPC EQUIPOS Y MAQUINARIA C.A";"";"Tel: (58) (251) 2691772";"Cr 9 E/ Cl 4 Y 5 Zona Ind II, Barquisimeto Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"SUBCONSUL C.A.";"";"Tel: (58) (281) 2748156";"Cll. Udon Perez, Nro.30 Campo Claro Barcelona, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"PEGOMAX, C.A.";"";"Tel: (58) (261) 7642864";"Av. 19, C.C. Quapaca, Local 6 Maracaibo,Edo Zulia Maracaibo, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ANDAMIOS SAN CELESTINO C.A.";"";"Tel: (58) (281) 2670833";"Calle 12, Nro.31, Chuparin Puerto de  la Cruz, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"POZOS Y BOMBAS 2.030, C.A.";"";"Tel: (58) (212) 9420647";"Hoyo de la Puerta, Tazón - Caracas Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"CONSTRUCCIONES 1 C.A";"";"Tel: (58) (241) 8591292";"Av Ricaurte 104-51 Local No. 1, Valencia Valencia, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"CONSTRUCTORA 1956, C.A.";"";"Tel: (58) (212) 9594855";"C.C.C.T, Chuao Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"COOPERATIVACARIBEANGROUP,S.R.L.";"";"Tel: (58) (244) 3867050";"An.Bolivar,Zona Industrial Villa de Cura, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"TALLER MECANICO INDUSTRIAL PARIS C.A";"";"Telefax: (58) (212) 2372028";"Cl Santa Clara, Boleita Norte Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"SERVIPS. C.A.";"";"Tel: (58) (212) 2857896";"Caracas Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"TALLER INDUSTRIAL VICOMA C.A";"";"Tel: (58) (212) 2412039";"La Urbina Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"DALMINE SOLUCIONES METALMECÁNICAS";"";"Tel: (58) (251) 2690311";"Barquisimeto Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"SERVICIOS PIHV C.A";"";"Tel: (58) (212) 9633345";"La Lagunita Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ORTÍZ Y MEJÍA, C.A.";"";"Tel: (58) (212) 6323511";"Av Nva Granada Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ALKILA S.R.L";"";"Tel: (58) (243) 5512864";"Av Miranda Oeste, La Romana, Maracay Maracay, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"M Y M YAGUARA C.A";"";"Tel: (58) (212) 4715216";"Av. Principal De La Yaguara Centro Empresarial Mpa Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"META DISTRIBUIDORA DE EQUIPOS S.A";"";"Tel: (58) (212) 2413826";"La Urbina Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"AISPOL C.A.";"";"Tel: (58) (281) 4414236";"C.C. Puerto Piritu Puerto Piritu, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"MAQUINARIAS RAPIMAQ 1 C.A";"";"Tel: (58) (212) 2356086";"Boleita Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"MAQUINARIAS MPC";"";"Tel: (58) (212) 9919959";"Chuao Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"SÁNCHEZ & CIA, S.A.";"";"Tel: (58) (212) 6311922";"Autop. Roosevelt, Prado De María Caracas Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ELECTRA REPRESENTACIONES Y CONSTRUCCIONES C.A";"";"Tel: (58) (261) 7651170";"Maracaibo Maracaibo, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"TECNOFIX C.A";"";"Tel: (58) (212) 2574878";"Av. San Francisco Macaracuay Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"HUSQVARNA";"";"Tel: (58) (212) 9932261";"Av.Ppal,Las Mercedes Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ESTUDIO PARA CONSTRUCCIONES, S.A.";"";"Tel: (58) (251) 2543312";"Av. Terepaima, Via Autocine Edificio Dalfa, Oficinas A-21 Y A-22 El Pedregal Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"LOGIC ELEVADORES C.A. SIGMA ELEVATOR COMPANY";"";"Tel: (58) (212) 2715124";"Urb. Buena Vista, 1ra. Av Edif. Befca Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"RIMOCA INDUSTRIAL C.A.";"";"Tel: (58) (212) 5538118";"Zona Industrial San Vicente II Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"CORPECA";"";"Tel: (58) (251) 2310454";"Oficina Ppal.: Calle 31 entre carreras 24 y 25 Nú 24-13. Barquisimeto, Edo Lara Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ALQUIECO DE VENEZUELA C.A";"";"Tel: (58) (241) 8593285";"Cl Rondón Cruce Con Campo Elias No. 103-3, Valencia Valencia, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"GIANPRO MAQUINARIAS";"";"Tel: (58) (212) 2341828";"3ra. Av De Montecristo Entre 1ra. Transv Y Av Rómulo Gallegos, Qta. Andrea No. 3 Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"INVERSIONES VILLEGAS C.A";"";"Tel: (58) (241) 8532412";"Autopista Campo de Carabobo Valencia, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"PISCINAS ARAGUA";"";"Tel: (58) (243) 5513971";"Av. Constitución Oeste entre 23 de Enero y Ayacucho Maracay, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"CARLEX PISCINAS, C.A.";"";"Tel: (58) (212) 8724254";"Cl.Nueva, Cruz Verde Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"TODO PARA PISCINAS, C.A.";"";"Tel: (58) (261) 7313815";"Caracas Maracaibo, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"SMITH PERFORACIONES SMITH Y SMITH C.A.";"";"Tel: (58) (244) 3960491";"Zona Industrias Corinsa, Calle Lazo. Nú1. Parcela Nú70 Cagua, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"PROYECTOS & DESARROLLO";"";"Tel: (58) (241) 8250581";"C.C Profesional Av.Bolivar Norte Piso 4 Oficina 4-27 Valencia, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"HIDRÁULICA LITORAL C.A.";"";"Telefax: (58) (212) 6323503";"Cl.Real Prado De María C/C Lourdes Edif. Perla, Loc. D, Apdo. 1040 - Cara cas Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"INVERSIONES Y REPRESENTACIONES JD";"";"Tel: (58) (212) 7238720";"Calle 89 E, Nro. 6-60 Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"MAQUINARIAS CORTE C.A";"";"Tel: (58) (212) 2418196";"Cl 10 Edif Corte La Urbina, Caracas Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"INDUSTRIAS ILLIANO C.A";"";"Telefax: (58) (212) 2414297";"Av Leonardo Ruiz Pineda Edif Illiano No. 17 San Casimiro Edo Aragua Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ANDAMIOS SAN JOSÉ, S.R.L.";"";"Tel: (58) (212) 5766082";"Av Leonardo Ruiz Pineda Pasaje 12 S. Agustín Del Sur Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"CONCREQUIP C.A";"";"Tel: (58) (212) 2410555";"Cl Araure Edif Pin 10 L-14 Urb El Marqués, Caracas Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ESTRUCTURA Y ANDAMIOS GALAXI 95, C.A.";"";"Tel: (58) (212) 8606046";"Esq. Cuño a Guanábano, Edif Maiuri Local 2, P.B., Altragracia Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"DISTRIBUIDORA DIMPERCA, C.A.";"";"Telefax: (58) (212) 7935506";"Av Principal De Maripérez, Qta. Marani Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"MONTAJES DE ANDAMIO LATINOAMERICANA CA";"";"Tel: (58) (251) 2615684";"Calle 8 entre Avenida 3 y 4 La Mata Cabudare, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"FAVEALCA, C.A.";"";"Tel: (58) (212) 8725038";"Km. 4 Carretera El Junquito A 200 Mts. Divenca Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"IMPER SIMEX S.A.";"";"Tel: (58) (212) 2386685";"Cl Maracay, Edif. Los Teques, P.B., El Marqués Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ARL PERFORACIONES, C.A. ARLPECA";"";"Tel: (58) (261) 7366272";"Sierra Maestra - Maracaibo Maracaibo, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"A ANDAMIOS CVI";"";"Tel: (58) (212) 2379554";"El Marqués Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"CONSTRUCCIONES HZ, C.A.";"";"Tel: (58) (282) 4244623";"Carretera Via Los Pilones Km. 1.5, cl. Gruber Anaco, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"ANDAMIOS NACIONALES C.A";"";"Tel: (58) (241) 8593260";"Cl Vargas No. 91-21 Entre Avs Ricurte Y Padre Alexander, Valencia Valencia, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"MOAHCA MAQUINARIAS OACH C.A";"";"Tel: (58) (212) 3218123";"Av Bolívar Centro, Los Teques Los Teques, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"BOMBAS TÁCHIRA C.A.";"";"Tel: (58) (251) 3474330";"Av. 19 De Abril, Cto. Cial. El Parque, Torre C P.B., Locs. 11 Y 81 Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"HEAVY INDUSTRIES CO.LTD. COSNTRUCTION EQUIPMENT DIVISION";"";"Tel: (58) (212) 2715124";"1era. Av. Buena Vista con Calle San Antonio, Piso 1 Edif. Befca, Urb.Buen a Vista Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"EQUIPOS MADECOL C.A";"";"Tel: (58) (212) 2376060";"Los Dos Caminos Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"INANCA";"";"Tel: (58) (261) 7174042";"Vía Perijá, Km. 15 Maracaibo, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"VENSIL C.A";"";"Tel: (58) (212) 5322484";"Km 8 Galpón 101 Ct Petare, Sta Lucia, Filas De Mariche Filas de Mariche, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"VENEZOLANA DE MATERIALES DE CONSTRUCCION";"";"Telefax: (58) (251) 4454701";"Av. Pedro Leon Torres, entre Calles 45 y 46 Nú 45 y 38 Barquisimeto Edo Lara Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"STII C.A";"";"Tel: (58) (212) 2123968";"Aparay, Cua Marin Cua, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"APROTEDI S.A";"";"Tel: (58) (241) 8323084";"Av. Pancho Pepe Croquer Zona Industrial Valencia, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"COMERCIALIZADORA GUERRERO";"";"Tel: (58) (251) 5410870";"Av.2, Calle 1, Urb. La Paz, N³2 La Mata Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"VOLCAN B, JOSE MANUEL";"";"Telefax: (58) (251) 2514826";"Av. Moran, E/Crs.23 y 24 Barquisimeto, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"PERFORACIONES SMITH Y SMITH C.A.";"";"Tel: (58) (241) 4472954";"Zona Industrial Corinsa,Calle Lazo No 1,Parcela No 70 Valencia, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"PISCINAS BARLOVENTO";"";"Tel: (58) (212) 3230613";"Cl.El Comercio, Edif.Est.Higuerote Cl.Comercio Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"IMPEXPAR, C.A.";"";"Tel: (58) (212) 7318164";"Av. Andrés Bello, La Florida Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"SIGALCA SIDERO GALVANICA C.A";"";"Tel: (58) (212) 3343824";"Calle B Urbanizacion industrial, las Tejerias Edo Aragua Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"EQUIPOS PICCINI DE VENEZUELA C.A";"";"Tel: (58) (212) 9913466";"Av Araure, Chuao Caracas, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"EUROPA MAQUINARIAS,C.A.";"";"Tel: (58) (286) 9231880";"Calle la Urbana, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Maquinaria Y Equipo Para La Construccion"
"COMERCIAL EL ENCAJE DORADO C.A";"";"Tel: (58) (212) 3315112";"Cl San Sebastian Maiquetia Caracas, Venezuela";"Máquinas"
"DISTRIBUIDORA PRODUCTOS INDUSTRIAL DE ALEMANIA C.A.";"";"Tel: (58) (241) 8717027";"Av. Boyacá 103, Zona Ind. Castillito Valencia, Venezuela";"Máquinas"
"TOP MATRIC C.A";"";"Tel: (58) (212) 3227371";"Zon Ind Tambor Los Teques Caracas, Venezuela";"Máquinas"
"HERTEC R.R.H.C.A.";"";"Tel: (58) (212) 9915046";"Centro Integral Piso 2 Of 207 St Rosa De Lima Caracas, Venezuela";"Máquinas"
"MAQUINARIAS Y HERRAMIENTAS 2000 C.A";"";"Tel: (58) (276) 3446575";"Barrio San Carlos San Cristóbal, Venezuela";"Máquinas"
"MAQUINARIAS TESLA, C.A.";"";"Tel: (58) (244) 43959407";"Av. Ppal. Zn. Ind. Campo Alegre Nú 116-16-03, Cagua Cagua, Venezuela";"Máquinas"
"INDUSTRIAS METALMECANICA FERROZ C.A";"";"Tel: (58) (212) 5724874";"La Candelaria Caracas, Venezuela";"Máquinas"
"REPRESENTACION WESTFALAIA SEPARATOR C.A";"";"Tel: (58) (212) 2434638";"Cl 13 Edif Prado La Urbina Caracas, Venezuela";"Máquinas"
"MAQUINARIA DIEKMANN S.A";"";"Tel: (58) (212) 6330775";"Urb Las Acacias Cl Humboldt Edif Diekmann PB Caracas Caracas, Venezuela";"Máquinas"
"MAQUINARIAS CARDOZO S.R.L.";"";"Tel: (58) (212) 4519191";"Cl Granada San Martin Caracas, Venezuela";"Máquinas"
"AA. BTECH SYSTEMS";"";"Tel: (58) (212) 7630675";"Av. Santos Erminy Sabana Grande Caracas, Venezuela";"Máquinas De Escribir"
"DISCA C.A";"";"Tel: (58) (212) 5420911";"Av Fuerzas Armadas, Rosario A Cristo (Frente Al Cuartel De Bomberos D.F) Caracas, Venezuela";"Máquinas De Escribir"
"OFISERVICIOS 2020 C.A";"";"Tel: (58) (212) 267898";"Av J F Rivas Chacao Caracas, Venezuela";"Máquinas De Escribir"
"ELECTRONICA REGIS TIME";"";"Tel: (58) (212) 6153741";"Av Sur Martin C.C Maracaibo Loc 1 Mezzacanina Caracas, Venezuela";"Máquinas De Escribir"
"SERVICIOS TECNICOS ESPECIALIZADOS, S.R.L.";"";"Tel: (58) (241) 8247267";"Padre Alonzo Valencia, Venezuela";"Máquinas De Escribir"
"LA TECLA";"";"Tel: (58) (212) 7633853";"Cl Pascual Navarro Caracas, Venezuela";"Máquinas De Escribir"
"VESETEC, S.R.L.";"";"Tel: (58) (241) 8313816";"Av Bolívar Sur, La Calendaria Valencia, Venezuela";"Máquinas De Escribir"
"INVERSIONES &SERVICIOS IC";"";"Tel: (58) (261) 7834411";"Av. 28, La Limpia Maracaibo, Venezuela";"Máquinas De Escribir"
"CALCULO SCRIPT, C.A.";"";"Tel: (58) (212) 4845046";"Cochera, Quinta Crespo Caracas, Venezuela";"Máquinas De Escribir"
"SERVICIOS MONTILLA";"";"Tel: (58) (261) 7980647";"Maracaibo Maracaibo, Venezuela";"Máquinas De Escribir"
"OLYMAQ MAQUINAS HERRAMIENTAS UNIVERSALES C.A";"";"Tel: (58) (212) 2348360";"Av Ppal De Boleita Cruce Con Av Romulo Gallegos Resd Metropolitana Loc 1 Caracas, Venezuela";"Máquinas Herramientas"
"ELECTRODIAGNOSTICOS INDUCIDOS APURE, C.A.";"";"Tel: (58) (247) 3425108";"Barrio Obrero S F Apure San Fernando de Apure, Venezuela";"Máquinas Herramientas"
"MAQUINARIA DIEKMANN S.A";"";"Tel: (58) (212) 6330775";"Urb Las Acacias Cl Humboldt Edif Diekmann PB Caracas Caracas, Venezuela";"Máquinas Herramientas"
"MAQUINARIAS FELCO";"";"Tel: (58) (212) 7530631";"Av Ppal Colinas De Bello Monte Edif Belmont PB Loc 2 Caracas 1050 Caracas, Venezuela";"Máquinas Herramientas"
"INVERSIONES SETIN 2010 C.A";"";"Tel: (58) (212) 2563110";"Av Ppal De Maracuay Multicentro Maracuay Piso 3 of 09 Caracas, Venezuela";"Máquinas Herramientas"
"INDUSTRIAS SONCA";"";"Tel: (58) (261) 7654998";"Villa Mara Maracaibo, Venezuela";"Marcos De Estilo"
"IBC MARKETING";"";"Tel: (58) (212) 9099955";"Los Dos Caminos Caracas, Venezuela";"Marketing"
