"Name","Description","Phone","Directions","Website","Email","Cuisines","Horarios","Feactures","Meals","GoodFor","Url"
"Johnny Be Good",,"+ Add phone number","Avenida Nueva Providencia 1549 | Providencia, Santiago 8320000, Chile",,,"Chilean, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d3838778-Reviews-Johnny_Be_Good-Santiago_Santiago_Metropolitan_Region.html"
"La Zaranda Restaurante",,"25440735","Arturo Prat 1311 | Esq. A. Prat Con Santiago, Santiago 8360376, Chile","http://www.lazaranda.cl/","framirez@lazaranda.cl","Japanese, Sushi, Delicatessen, Chilean, South American, Vegetarian Friendly","Monday  12:00 pm - 9:00 pm
Tuesday  12:00 pm - 9:00 pm
Wednesday  12:00 pm - 9:00 pm
Thursday  12:00 pm - 9:00 pm
Friday  12:00 pm - 9:00 pm
",,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d3172335-Reviews-La_Zaranda_Restaurante-Santiago_Santiago_Metropolitan_Region.html"
"Light Blue Sparkling Bar","Light Blue Sparkling Bar is a space created for people like you, where you can sign out and have fun with friends enjoying a unique atmosphere of its kind. We will be your meeting place! A space where you can enjoy your favorite drink and food for you. Come and see the sparkling concept to find the best sparkling wines.","+(56)22111420","Avenida Vitacura 9263, Santiago 7650086, Chile","http://www.lightblue.cl/","tomas@lightblue.cl",,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7067749-Reviews-Light_Blue_Sparkling_Bar-Santiago_Santiago_Metropolitan_Region.html"
"Mamma Mia!",,"+ Add phone number","Avenida Presidente Kennedy 5413, Santiago 8320000, Chile",,,"Pizza",,,"Lunch, Dinner","Kids","https://www.tripadvisor.com/Restaurant_Review-g294305-d7308586-Reviews-Mamma_Mia-Santiago_Santiago_Metropolitan_Region.html"
"Chiar Oscuro",,"+56 2 2618 9716","Avenida Andres Bello 2447, Santiago 8320000, Chile",,,"Cafe",,,"Breakfast",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7307737-Reviews-Chiar_Oscuro-Santiago_Santiago_Metropolitan_Region.html"
"La Negrita",,"+56 2 2789 8086","Seminario 116, Santiago 8320000, Chile",,,"South American, Colombian",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7308867-Reviews-La_Negrita-Santiago_Santiago_Metropolitan_Region.html"
"La Tecla",,"+56 2 2453 6901","Jorge Washington 164, Santiago 8320000, Chile","https://www.facebook.com/LaTeclaChilenaRestoran/?fref=ts","reservas@latecla.cl",,,"Reservations",,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d8783670-Reviews-La_Tecla-Santiago_Santiago_Metropolitan_Region.html"
"The Coffee Factory",,"+56 2 2334 9333","Las Bellotas 172 | esquina de avenida Ricardo Lyon, Santiago 8320000, Chile",,,"Cafe",,,"Breakfast, Lunch",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d5962056-Reviews-The_Coffee_Factory-Santiago_Santiago_Metropolitan_Region.html"
"DANSCoffee","The preparation of a high quality cup of coffee is born out of the knowledge of the beans, out of trust in the coffee growers and out of coffee roasting skills.Our desire is to share our culture and to be able to connect our worlds hand in hand with an excellent cup of coffee.","+56 3223 8478","General del Canto 100, Santiago 7500579, Chile","https://www.danscoffee.cl/","contacto@danscoffee.cl","Cafe","Monday  7:30 am - 6:00 pm
Tuesday  7:30 am - 6:00 pm
Wednesday  7:30 am - 6:00 pm
Thursday  7:30 am - 6:00 pm
Friday  7:30 am - 6:00 pm
","Takeout, Outdoor Seating, Seating, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover","Breakfast, Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10243625-Reviews-DANSCoffee-Santiago_Santiago_Metropolitan_Region.html"
"la plancha",,"+ Add phone number","Av. Vitacura 5356, Santiago, Chile",,,"Fast Food",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d967144-Reviews-La_plancha-Santiago_Santiago_Metropolitan_Region.html"
"Pizza Napoli",,"+56 2 2225 6468","Avenida Nueva Providencia 1935, Santiago 8320000, Chile",,,"Pizza","Monday  8:00 am - 11:00 pm
Saturday  8:00 am - 11:00 pm
",,"Breakfast, Lunch, Dinner","Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d7356663-Reviews-Pizza_Napoli-Santiago_Santiago_Metropolitan_Region.html"
"Cafe Caribe",,"+56 2 2633 2851","Paseo Huerfanos, 796, Santiago, Chile","http://cafecaribe.cl/",,"Cafe",,,"Drinks",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d3880130-Reviews-Cafe_Caribe-Santiago_Santiago_Metropolitan_Region.html"
"La Table Rouge Restaurant and Bar",,"+ Add phone number","Avenida Providencia 1187 | Ibis Santiago Providencia, Santiago 7500585, Chile",,,,,,"Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d3539287-Reviews-La_Table_Rouge_Restaurant_and_Bar-Santiago_Santiago_Metropolitan_Region.html"
"Subway",,"+56 2 2951 9115","Cerro El Plomo 5630, Santiago 8320000, Chile","http://www.subway.cl/",,"Fast Food",,,"Lunch",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7307915-Reviews-Subway-Santiago_Santiago_Metropolitan_Region.html"
"Niu Sushi",,"+56 2 2335 7985","Guardia Vieja 181, Santiago 8320000, Chile","https://niusushi.cl/",,"Japanese, Sushi",,"Delivery, Takeout, Waitstaff",,"Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d7349562-Reviews-Niu_Sushi-Santiago_Santiago_Metropolitan_Region.html"
"El Parisino Pasteleria",,"+56 9 5139 5341","Avenida Italia 1295, Santiago 7501464, Chile","https://www.facebook.com/elparisinopasteleria/","elparisinopasteleria@gmail.com","French","Sunday  12:00 pm - 8:00 pm
Wednesday  12:00 pm - 8:00 pm
Thursday  12:00 pm - 8:00 pm
Friday  12:00 pm - 8:00 pm
Saturday  12:00 pm - 8:00 pm
",,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10028130-Reviews-El_Parisino_Pasteleria-Santiago_Santiago_Metropolitan_Region.html"
"el Marroqui",,"+56 9 9806 2980","Huelen 141. Providencia, Santiago, Chile",,,"Mediterranean",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d12064546-Reviews-El_Marroqui-Santiago_Santiago_Metropolitan_Region.html"
"Costa Verde",,"+ Add phone number","Padre Luis de Valdivia, 333 | Santa Lucia, Santiago, Chile",,,"Peruvian, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d4003348-Reviews-Costa_Verde-Santiago_Santiago_Metropolitan_Region.html"
"Donde el Criollo",,"232207372","Francisco bilbao 2839, Santiago, Chile",,,"Peruvian, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10624254-Reviews-Donde_el_Criollo-Santiago_Santiago_Metropolitan_Region.html"
"Tavelli",,"+56 2 2586 2523","Avenida Isidora Goyenechea 2891, Santiago 8320000, Chile","http://www.tavelli.cl/",,"Cafe",,,"Breakfast",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7352656-Reviews-Tavelli-Santiago_Santiago_Metropolitan_Region.html"
"Nippon",,"+56 2 2684 9495","Los Militares 5934 | Local K, Nueva Las Condes, Santiago 8320000, Chile",,,,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d9763276-Reviews-Nippon-Santiago_Santiago_Metropolitan_Region.html"
"Subway",,"+ Add phone number","Avenida Bernardo O'Higgins 580 | Local 7, Santiago 8320000, Chile","http://www.subway.cl/nuestros_locales.php?id_ciu=2",,,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10486928-Reviews-Subway-Santiago_Santiago_Metropolitan_Region.html"
"Al Corte Patagon",,"+ Add phone number","Mallinkrodt 184, Santiago 8320000, Chile","https://www.facebook.com/alcortepatagon/","alcortepatagon@gmail.com",,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10053011-Reviews-Al_Corte_Patagon-Santiago_Santiago_Metropolitan_Region.html"
"Super Delicious",,"+56 2 2481 4971","Avenida Apoquindo 3910, Santiago 8320000, Chile","http://www.superdelicious.cl/delicious/",,"Cafe",,"Takeout","Breakfast",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7307778-Reviews-Super_Delicious-Santiago_Santiago_Metropolitan_Region.html"
"Danes",,"+56 2 2943 1055","Avenida Cristobal Colon 4455 | Local E1, Santiago 8320000, Chile",,,"Steakhouse, Bar, Pub, Diner, Chilean, South American","Sunday  11:30 am - 10:30 pm
Monday  11:30 am - 12:30 am
Tuesday  11:30 am - 12:30 am
Wednesday  11:30 am - 12:30 am
Thursday  11:30 am - 12:30 am
Friday  11:30 am - 12:30 am
Saturday  11:30 am - 12:30 am
","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Free Off-Street Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover","Brunch, Lunch, Dinner","Families with children, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d8759285-Reviews-Danes-Santiago_Santiago_Metropolitan_Region.html"
"Fish & Chips Santiago","Fish & Chips es un punto de encuentro donde probaras lo mejor en pescados fritos o a la plancha con sus insuperables papas y nobles salsas.","+56 2 3218 9244","Diagonal Rancagua # 950 | Local 13, Providencia, Santiago 7501058, Chile","https://www.facebook.com/Fish-Chips-Santiago-1561821354129426/","gabocif@gmail.com","Fast Food, British, Chilean, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10353523-Reviews-Fish_Chips_Santiago-Santiago_Santiago_Metropolitan_Region.html"
"Papi pizza",,"+ Add phone number","Monjitas 540 | Metropolitana, Santiago, Chile",,,"Pizza",,,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d4055017-Reviews-Papi_pizza-Santiago_Santiago_Metropolitan_Region.html"
"Shawarma El Gringo",,"+56 2 2732 7918","Antonia Lopez de Bello 364-A | Recoleta, Santiago 8420469, Chile","http://www.shawarmaelgringo.cl/",,,,"Takeout",,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d8730811-Reviews-Shawarma_El_Gringo-Santiago_Santiago_Metropolitan_Region.html"
"Parrilladas La Uruguaya",,"+56 2 2269 7570","Nunoa, Region Metropolitana Pasaje Santo Domingo 1301, Santiago 8350732, Chile","http://www.lauruguaya.cl/",,"Grill",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10559070-Reviews-Parrilladas_La_Uruguaya-Santiago_Santiago_Metropolitan_Region.html"
"El Mundo Del Queso",,"+56 2 231 9139","Nueva de Lyon 036, Local 21, Santiago 75000, Chile","http://www.elmundodelqueso.com/","contacto@elmundodelqueso.com","Cafe",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d5496233-Reviews-El_Mundo_Del_Queso-Santiago_Santiago_Metropolitan_Region.html"
"It Sandwich & Bar",,"+56 2 2231 7879","Avenida Isidora Goyenechea 3215, Santiago 8320000, Chile","http://www.tasteit.cl/",,"Bar",,"Seating, Waitstaff, Serves Alcohol, Wheelchair Accessible","Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7308193-Reviews-It_Sandwich_Bar-Santiago_Santiago_Metropolitan_Region.html"
"Malecon de la Habana",,"+56 2 2735 0938","Pio Nono 188, Santiago 8320000, Chile","http://www.malecondelahabana.cl/","contacto@malecondelahabana.cl","Chilean, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7308541-Reviews-Malecon_de_la_Habana-Santiago_Santiago_Metropolitan_Region.html"
"Starbucks",,"+ Add phone number","General Bustamante 12, Santiago 7500000, Chile","http://www.starbucks.cl/",,,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10474918-Reviews-Starbucks-Santiago_Santiago_Metropolitan_Region.html"
"WARU Restaurante",,"+56 9 7476 9277","Santa Lucia 168, Santiago, Chile","https://www.facebook.com/WAR%C3%9A-Restaurante-1665100173794461/",,"Chilean, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d12511760-Reviews-WARU_Restaurante-Santiago_Santiago_Metropolitan_Region.html"
"Thai-Isan",,"87103846","Placer 1020 Interior Estacionamiento | Local 208, Santiago, Chile","https://www.facebook.com/Thaiisarn",,"Thai",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7626870-Reviews-Thai_Isan-Santiago_Santiago_Metropolitan_Region.html"
"La Barquera",,"+ Add phone number","Enjoy Santiago, Santiago, Chile","https://www.enjoy.cl/",,"Diner",,,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d2703298-Reviews-La_Barquera-Santiago_Santiago_Metropolitan_Region.html"
"Tavelli",,"+56 2 2584 1198","Andres de Fuenzalida, 34, Santiago, Chile","http://www.tavelli.cl/",,"Cafe",,,"Breakfast","Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d7336360-Reviews-Tavelli-Santiago_Santiago_Metropolitan_Region.html"
"Buena Esquina",,"+ Add phone number","Avenida Francisco Bilbao 2704 | Providencia, Esquina Hernando de Aguirre, Santiago, Chile","https://www.buenaesquina.cl/","buenaesquina.clubsocial@gmail.com",,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d12610812-Reviews-Buena_Esquina-Santiago_Santiago_Metropolitan_Region.html"
"Popeyes Louisiana Kitchen",,"+ Add phone number","Diego de Velazquez 2056 | Providencia, Santiago 8320000, Chile","https://www.facebook.com/PopeyesChile",,,,,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d6632796-Reviews-Popeyes_Louisiana_Kitchen-Santiago_Santiago_Metropolitan_Region.html"
"El Barisino",,"+56 2 2632 3428","Villavicencio, 323, Santiago, Chile",,,"Cafe",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7308932-Reviews-El_Barisino-Santiago_Santiago_Metropolitan_Region.html"
"One Way",,"2 724 8263","Avenida Francisco Bilbao 932, Santiago, Chile","http://www.sushioneway.cl/",,"Japanese, Sushi","Monday  12:30 pm - 10:30 pm
Tuesday  12:30 pm - 10:30 pm
Wednesday  12:30 pm - 10:30 pm
Thursday  12:30 pm - 10:30 pm
Friday  12:30 pm - 10:30 pm
",,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d3392796-Reviews-One_Way-Santiago_Santiago_Metropolitan_Region.html"
"Dulceria Frutillar",,"+56 2 2212 6932","Avenida Cristobal Colon 5300, Santiago 8320000, Chile","http://www.dulceriafrutillar.cl/","colon@dulceriafrutillar.cl",,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10028790-Reviews-Dulceria_Frutillar-Santiago_Santiago_Metropolitan_Region.html"
"Bariloche Restaurant",,"+56 2 2360 9193","Froilan Roa 7205 | Mall Plaza Vespucio, Santiago 8320000, Chile","http://www.barilocherestaurant.cl/","dacuna@barilocherestorant.cl","Chilean, South American",,"Reservations",,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7336116-Reviews-Bariloche_Restaurant-Santiago_Santiago_Metropolitan_Region.html"
"Peregrino",,"+56 2 3220 7169","Alonso de Cordova 5360 local 12, Santiago 8320000, Chile","https://www.facebook.com/sangucheriaperegrino/",,,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10759246-Reviews-Peregrino-Santiago_Santiago_Metropolitan_Region.html"
"SantaBrasa",,"+56 2 2206 4110","Av. Andres Bello 2447, Santiago Av. Andrs Bello 2447 Local 5508, Chile","http://www.santabrasa.cl/",,"Steakhouse, Barbecue",,"Reservations, Seating, Waitstaff, Wheelchair Accessible",,"Families with children, Kids, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d5418233-Reviews-SantaBrasa-Santiago_Santiago_Metropolitan_Region.html"
"Restaurant panul",,"+56 2 2286 7200","Av central 4153 la florida, Santiago, Chile","http://www.restaurantpanul.cl/",,"Chilean, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d12383446-Reviews-Restaurant_panul-Santiago_Santiago_Metropolitan_Region.html"
"Aji Secos II",,"+56 2 2697 9363","San Pablo 2399 | Esquina General Bulnes, Santiago 8350229, Chile","http://www.elajiseco.cl/",,"Peruvian, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10531541-Reviews-Aji_Secos_II-Santiago_Santiago_Metropolitan_Region.html"
"Lian Wa",,"+56 2 2325 1612","Simon Bolivar 3751, Nunoa, Santiago 8320000, Chile",,,"Chinese",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10259268-Reviews-Lian_Wa-Santiago_Santiago_Metropolitan_Region.html"
"Piada",,"+56 2 2716 3983","Larrain 6795 | la Reina, Santiago, Chile","https://www.facebook.com/piadinachile","piadachile@gmail.com","Italian, Fast Food","Sunday  5:00 pm - 11:00 pm
Monday  1:00 pm - 11:00 pm
Tuesday  5:00 pm - 11:00 pm
Wednesday  1:00 pm - 11:00 pm
Thursday  1:00 pm - 11:00 pm
Friday  1:00 pm - 12:00 am
Saturday  1:00 pm - 12:00 am
",,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d12186092-Reviews-Piada-Santiago_Santiago_Metropolitan_Region.html"
"Buffet Express",,"+56 2 2481 8734","Avenida Manquehue Sur 31 | Las Condes, Santiago 8320000, Chile","http://www.buffet-express.cl/",,"Fast Food",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7348842-Reviews-Buffet_Express-Santiago_Santiago_Metropolitan_Region.html"
"El Chimbotano Polleria",,"26726773","San Pablo 2522, Santiago 8350270, Chile","http://elchimbotano.cl/ubicacion.php",,"Peruvian, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10459537-Reviews-El_Chimbotano_Polleria-Santiago_Santiago_Metropolitan_Region.html"
"Moto Sandwich",,"22014464","Avenida Isabel la Catolica 6117, Santiago 8320000, Chile","http://www.motosandwich.cl/",,"Steakhouse",,,"Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d4598445-Reviews-Moto_Sandwich-Santiago_Santiago_Metropolitan_Region.html"
"Mito Urbano",,"235 7097","Manuel Montt, Santiago, Chile","http://www.mitourbano.cl/",,"Pub, Chilean, South American","Monday  8:30 am - 6:30 pm
Friday  8:30 am - 6:30 pm
",,"Breakfast, Lunch, Dinner","Local cuisine","https://www.tripadvisor.com/Restaurant_Review-g294305-d1099160-Reviews-Mito_Urbano-Santiago_Santiago_Metropolitan_Region.html"
"Bellas Artes Soho Tienda Cafe",,"26329510","Monjitas 579c Barrio Bellas Artes, Santiago, Chile","https://www.facebook.com/BellasArtesSohoTiendaCafe?ref=hl",,"Cafe, Chilean, South American","Sunday  8:30 am - 6:00 pm
Monday  8:30 am - 9:30 pm
Tuesday  8:30 am - 9:30 pm
Wednesday  8:30 am - 9:30 pm
Thursday  8:30 am - 9:30 pm
Friday  8:30 am - 9:30 pm
Saturday  8:30 am - 6:00 pm
",,"Breakfast, Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d5124811-Reviews-Bellas_Artes_Soho_Tienda_Cafe-Santiago_Santiago_Metropolitan_Region.html"
"Fusion Purpura",,"+56 2 2920 9628","San Jose de la Estrella, Santiago 8320000, Chile","http://fusionpurpura.cl/restaurant/",,"Japanese, Sushi","Monday  7:00 pm - 12:00 am
Tuesday  7:00 pm - 12:00 am
Wednesday  7:00 pm - 12:00 am
Thursday  7:00 pm - 12:00 am
Friday  7:00 pm - 1:00 am
Saturday  7:00 pm - 1:00 am
",,"Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d6418773-Reviews-Fusion_Purpura-Santiago_Santiago_Metropolitan_Region.html"
"Pimienta RestoBar",,"+56 2 2632 9078","Londres 45, Santiago 8330095, Chile","http://www.pimientarestobar.cl/","pimienta.gerencia@gmail.com","Bar, International, Chilean, South American","Monday  12:30 pm - 11:00 pm
Tuesday  12:30 pm - 11:00 pm
Wednesday  12:30 pm - 11:00 pm
Thursday  12:30 pm - 11:00 pm
Friday  12:30 pm - 11:00 pm
","Outdoor Seating, Seating, Waitstaff","Lunch, Dinner, Drinks","Local cuisine","https://www.tripadvisor.com/Restaurant_Review-g294305-d2158630-Reviews-Pimienta_RestoBar-Santiago_Santiago_Metropolitan_Region.html"
"Cafe Republicano",,"28330679","Plaza Manuel Rodriguez 2159, Santiago 8370102, Chile","https://www.facebook.com/elcafemundo",,"Brew Pub, Pizza, Cafe",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d8322313-Reviews-Cafe_Republicano-Santiago_Santiago_Metropolitan_Region.html"
"Arcano",,"+56 2 2235 2033","General Salvo No 88, Santiago, Chile",,,,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10700416-Reviews-Arcano-Santiago_Santiago_Metropolitan_Region.html"
"It Sandwich & Bar",,"+56 2 2952 7884","Cerro Colorado 5295, Santiago 8320000, Chile","http://www.tasteit.cl/",,,,,"Lunch",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7307900-Reviews-It_Sandwich_Bar-Santiago_Santiago_Metropolitan_Region.html"
"Resto Bar Ki",,"+56-2-2777-7245","Ave Peru 631, Santiago 8320000, Chile",,,"Thai",,,"Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d4368221-Reviews-Resto_Bar_Ki-Santiago_Santiago_Metropolitan_Region.html"
"Lineas De Nazca",,"+56 2 2633 1468","Paseo Phillips, 32, Santiago, Chile",,,"Peruvian, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7349797-Reviews-Lineas_De_Nazca-Santiago_Santiago_Metropolitan_Region.html"
"Bucaneros",,"+56 2 2632 8210","Avenida Libertador Bernardo o'Higgins 510 | Feria artesanal santa lucia, Santiago 8330045, Chile","http://www.bucaneros.cl/",,"Brew Pub, Pub",,,,"Bar scene","https://www.tripadvisor.com/Restaurant_Review-g294305-d7291277-Reviews-Bucaneros-Santiago_Santiago_Metropolitan_Region.html"
"Balbuco",,"+ Add phone number","Avenue Alonso De Cordova, Santiago, Chile",,,,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d9457418-Reviews-Balbuco-Santiago_Santiago_Metropolitan_Region.html"
"Kioto Sushi Delivery",,"+ Add phone number","Gran Avenida Jose Miguel Carrera 6021 | Esquina San Nicolas, Santiago, Chile","http://kiotosushi.com/contactos/",,,"Monday  12:00 pm - 11:00 pm
Tuesday  12:00 pm - 11:00 pm
Wednesday  12:00 pm - 11:00 pm
Thursday  12:00 pm - 11:00 pm
Friday  12:00 pm - 12:00 am
Saturday  12:00 pm - 12:00 am
",,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d12077166-Reviews-Kioto_Sushi_Delivery-Santiago_Santiago_Metropolitan_Region.html"
"Da Roncallo Caffe",,"+56 2 2264 1501","Avenida Providencia 1439, Santiago 8320000, Chile","http://www.daroncallocaffe.cl/","cfuentes@daroncallocaffe.cl","Cafe",,,"Breakfast",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7308619-Reviews-Da_Roncallo_Caffe-Santiago_Santiago_Metropolitan_Region.html"
"Mi Havana",,"+56 2 2632 4591","Las Hiedras 666h, Santiago 8320217, Chile",,,"Caribbean, Cuban",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7348728-Reviews-Mi_Havana-Santiago_Santiago_Metropolitan_Region.html"
"Alto Moche",,"+56 2 2204 6628","Avenida Pedro de Valdivia 1764 | Providencia, Santiago 8340422, Chile",,,"Peruvian, Seafood, Grill, Chilean, South American","Sunday  1:00 pm - 4:00 pm
Monday  1:00 pm - 4:00 pm / 7:30 pm - 11:45 pm
Tuesday  1:00 pm - 4:00 pm / 7:30 pm - 11:45 pm
Wednesday  1:00 pm - 4:00 pm / 7:30 pm - 11:45 pm
Thursday  1:00 pm - 4:00 pm / 7:30 pm - 11:45 pm
Friday  1:00 pm - 4:00 pm / 7:30 pm - 11:45 pm
Saturday  1:00 pm - 4:00 pm / 7:30 pm - 11:45 pm
",,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d6407129-Reviews-Alto_Moche-Santiago_Santiago_Metropolitan_Region.html"
"Oliva Vegan Friendly",,"+56 9 6490 3011","Ernesto Pinto Lagarrigue 127 | Recoleta, Barrio Bellavista, Santiago 8420496, Chile","https://www.facebook.com/oliva.veganfriendly/","olivapizzeriaycomida@gmail.com","Italian, Pizza, Vegan Options","Monday  12:30 pm - 12:00 am
Tuesday  12:30 pm - 12:00 am
Wednesday  12:30 pm - 12:00 am
Thursday  12:30 pm - 12:00 am
Friday  12:30 pm - 12:00 am
Saturday  5:00 pm - 12:00 am
",,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10238258-Reviews-Oliva_Vegan_Friendly-Santiago_Santiago_Metropolitan_Region.html"
"Planta Maestra",,"+56 2 2946 5527","Avenida Manuel Montt 187 | Media Cuadra Al Sur de Nueva Providencia, Santiago 7500078, Chile","https://www.plantamaestra.cl/","contacto@plantamaestra.cl","Healthy, Vegan Options",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7268291-Reviews-Planta_Maestra-Santiago_Santiago_Metropolitan_Region.html"
"Barandiaran",,"+ Add phone number","Diecinueve de Abril 3526, Santiago 8320000, Chile","http://www.barandiaran.cl/",,,"Sunday  1:00 pm - 12:30 am
Monday  1:00 pm - 12:30 am
Tuesday  1:00 pm - 12:30 am
Wednesday  1:00 pm - 12:30 am
Thursday  1:00 pm - 12:30 am
Friday  1:00 pm - 12:30 am
Saturday  1:00 pm - 12:30 am
",,"Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d10695911-Reviews-Barandiaran-Santiago_Santiago_Metropolitan_Region.html"
"Six Lounge Bar",,"+56 2 2219 1343","avenida Vitacura 5708, Santiago, Chile","http://www.sixlounge.cl/",,"Bar, Pub",,,"Drinks","Bar scene","https://www.tripadvisor.com/Restaurant_Review-g294305-d5926239-Reviews-Six_Lounge_Bar-Santiago_Santiago_Metropolitan_Region.html"
"Vittoria",,"+56 2 2242 0916","Cerro El Plomo 5630, Santiago 8320000, Chile",,,"Chilean, South American",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7307907-Reviews-Vittoria-Santiago_Santiago_Metropolitan_Region.html"
"Darjeeling",,"+56 2 2228 7797","Renato Sanchez 3665, Santiago 8320000, Chile",,,"Cafe",,,"Breakfast",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d7308690-Reviews-Darjeeling-Santiago_Santiago_Metropolitan_Region.html"
"Cafe Palma","Caf Palma ist ein Caf in uoa, Santiago. Es bietet eine gemtliche Atmosphre, Terrasse, WIFI, Platz um ruhig zu arbeiten oder um sich mit Freunden zu treffen. Die Karte bietet einen der besten Kaffee's Santiagos und dazu selbstgemachte Kuchen und Desserts. All das mit hervorragendem Service. Auerdem kann man hier deutsch, englisch und spanisch sprechen.","+56 9 7810 6072","Alcalde Eduardo Castillo Velasco 2357, Santiago, Chile","https://www.facebook.com/Caf%C3%A9-Palma-1656279031270333/timeline?ref=page_internal","cafepalmanunoa@gmail.com",,,,,,"https://www.tripadvisor.com/Restaurant_Review-g294305-d9849030-Reviews-Cafe_Palma-Santiago_Santiago_Metropolitan_Region.html"
